OrderKey,CustomerKey,StoreKey,OrderDate,DeliveryDate,CurrencyCode
246400,1251704,999999,2021-09-29,2021-10-02,USD
246401,1950832,500,2021-09-29,2021-09-29,USD
246500,1091918,390,2021-09-30,2021-09-30,GBP
246501,846794,330,2021-09-30,2021-09-30,EUR
246502,2008795,490,2021-09-30,2021-09-30,USD
246600,102446,999999,2021-10-01,2021-10-04,AUD
246601,1478618,510,2021-10-01,2021-10-01,USD
246700,1891912,510,2021-10-02,2021-10-02,USD
246701,252359,80,2021-10-02,2021-10-02,CAD
246702,1764902,560,2021-10-02,2021-10-02,USD
246703,1379531,999999,2021-10-02,2021-10-05,USD
246900,326244,999999,2021-10-04,2021-10-05,CAD
247000,1377593,670,2021-10-05,2021-10-05,USD
247001,1601634,670,2021-10-05,2021-10-05,USD
247100,1994937,999999,2021-10-06,2021-10-11,USD
247101,1659112,490,2021-10-06,2021-10-06,USD
247102,718157,999999,2021-10-06,2021-10-11,EUR
247200,451581,230,2021-10-07,2021-10-07,EUR
247201,733258,300,2021-10-07,2021-10-07,EUR
247202,1826998,999999,2021-10-07,2021-10-09,USD
247300,1694591,999999,2021-10-08,2021-10-12,USD
247301,1497249,999999,2021-10-08,2021-10-09,USD
247400,1487738,540,2021-10-09,2021-10-09,USD
247401,1393939,660,2021-10-09,2021-10-09,USD
247402,225689,999999,2021-10-09,2021-10-13,CAD
247403,1531328,670,2021-10-09,2021-10-09,USD
247600,95236,35,2021-10-11,2021-10-11,AUD
247700,1622830,440,2021-10-12,2021-10-12,USD
247701,1773097,999999,2021-10-12,2021-10-15,USD
247800,737313,300,2021-10-13,2021-10-13,EUR
247801,613997,999999,2021-10-13,2021-10-15,EUR
247802,740488,300,2021-10-13,2021-10-13,EUR
247900,214327,100,2021-10-14,2021-10-14,CAD
247901,1745289,999999,2021-10-14,2021-10-17,USD
247902,555569,999999,2021-10-14,2021-10-17,EUR
248000,1220182,999999,2021-10-15,2021-10-17,USD
248001,1307064,605,2021-10-15,2021-10-15,USD
248100,1902737,570,2021-10-16,2021-10-16,USD
248101,575561,999999,2021-10-16,2021-10-20,EUR
248102,1994991,999999,2021-10-16,2021-10-21,USD
248103,1667326,590,2021-10-16,2021-10-16,USD
248300,1914640,999999,2021-10-18,2021-10-22,USD
248400,1610970,999999,2021-10-19,2021-10-21,USD
248401,1358411,999999,2021-10-19,2021-10-25,USD
248500,1101038,360,2021-10-20,2021-10-20,GBP
248501,809928,999999,2021-10-20,2021-10-28,EUR
248502,1872552,999999,2021-10-20,2021-10-21,USD
248600,1895656,999999,2021-10-21,2021-10-24,USD
248601,1587423,440,2021-10-21,2021-10-21,USD
248602,961578,999999,2021-10-21,2021-10-23,GBP
248700,1253984,620,2021-10-22,2021-10-22,USD
248701,219163,74,2021-10-22,2021-10-22,CAD
248800,756582,300,2021-10-23,2021-10-23,EUR
248801,982826,999999,2021-10-23,2021-10-28,GBP
248802,59007,50,2021-10-23,2021-10-23,AUD
248803,1290489,650,2021-10-23,2021-10-23,USD
249000,1661993,550,2021-10-25,2021-10-25,USD
249100,1979902,540,2021-10-26,2021-10-26,USD
249101,1759542,999999,2021-10-26,2021-10-28,USD
249200,466568,210,2021-10-27,2021-10-27,EUR
249201,1842235,585,2021-10-27,2021-10-27,USD
249202,1429478,999999,2021-10-27,2021-10-29,USD
249300,1666847,999999,2021-10-28,2021-10-29,USD
249301,399376,100,2021-10-28,2021-10-28,CAD
249302,1545650,999999,2021-10-28,2021-11-01,USD
249400,1342922,999999,2021-10-29,2021-10-31,USD
249401,1699175,530,2021-10-29,2021-10-29,USD
249500,662864,999999,2021-10-30,2021-11-06,EUR
249501,825458,340,2021-10-30,2021-10-30,EUR
249502,1345424,570,2021-10-30,2021-10-30,USD
249503,1813248,660,2021-10-30,2021-10-30,USD
249700,1578547,999999,2021-11-01,2021-11-03,USD
249800,1143375,380,2021-11-02,2021-11-02,GBP
249801,429082,999999,2021-11-02,2021-11-06,EUR
249900,286451,80,2021-11-03,2021-11-03,CAD
249901,271561,90,2021-11-03,2021-11-03,CAD
249902,1238445,999999,2021-11-03,2021-11-08,USD
250000,1736577,999999,2021-11-04,2021-11-06,USD
250001,1966269,999999,2021-11-04,2021-11-07,USD
250002,1546830,540,2021-11-04,2021-11-04,USD
250100,1825884,660,2021-11-05,2021-11-05,USD
250101,1966237,999999,2021-11-05,2021-11-09,USD
250200,476870,999999,2021-11-06,2021-11-09,EUR
250201,1341133,585,2021-11-06,2021-11-06,USD
250202,1926099,450,2021-11-06,2021-11-06,USD
250203,1876559,999999,2021-11-06,2021-11-09,USD
250400,1746321,999999,2021-11-08,2021-11-11,USD
250500,609943,150,2021-11-09,2021-11-09,EUR
250501,724200,999999,2021-11-09,2021-11-10,EUR
250600,2079458,999999,2021-11-10,2021-11-12,USD
250601,1789227,500,2021-11-10,2021-11-10,USD
250602,1802375,510,2021-11-10,2021-11-10,USD
250700,1942993,500,2021-11-11,2021-11-11,USD
250701,237688,999999,2021-11-11,2021-11-14,CAD
250702,474910,270,2021-11-11,2021-11-11,EUR
250800,991361,360,2021-11-12,2021-11-12,GBP
250801,1198176,390,2021-11-12,2021-11-12,GBP
250900,259965,74,2021-11-13,2021-11-13,CAD
250901,1747494,440,2021-11-13,2021-11-13,USD
250902,1976568,999999,2021-11-13,2021-11-18,USD
250903,1984618,490,2021-11-13,2021-11-13,USD
251100,1499024,999999,2021-11-15,2021-11-22,USD
251200,428290,999999,2021-11-16,2021-11-19,EUR
251201,118993,999999,2021-11-16,2021-11-20,AUD
251300,2068380,999999,2021-11-17,2021-11-21,USD
251301,1221172,999999,2021-11-17,2021-11-20,USD
251302,1589664,999999,2021-11-17,2021-11-18,USD
251400,1533156,530,2021-11-18,2021-11-18,USD
251401,1686372,999999,2021-11-18,2021-11-21,USD
251402,1225292,490,2021-11-18,2021-11-18,USD
251500,625624,999999,2021-11-19,2021-11-21,EUR
251501,1874647,999999,2021-11-19,2021-11-23,USD
251600,1781558,470,2021-11-20,2021-11-20,USD
251601,99815,10,2021-11-20,2021-11-20,AUD
251602,1325972,999999,2021-11-20,2021-11-23,USD
251603,266167,999999,2021-11-20,2021-11-24,CAD
251800,1153493,420,2021-11-22,2021-11-22,GBP
251900,396536,999999,2021-11-23,2021-11-24,CAD
251901,624116,180,2021-11-23,2021-11-23,EUR
252000,1360426,470,2021-11-24,2021-11-24,USD
252001,1694806,999999,2021-11-24,2021-11-29,USD
252002,1713672,999999,2021-11-24,2021-11-27,USD
252100,1525587,440,2021-11-25,2021-11-25,USD
252101,1873056,450,2021-11-25,2021-11-25,USD
252102,1470169,510,2021-11-25,2021-11-25,USD
252200,273296,999999,2021-11-26,2021-11-29,CAD
252201,1314450,650,2021-11-26,2021-11-26,USD
252300,1813363,590,2021-11-27,2021-11-27,USD
252301,1278916,550,2021-11-27,2021-11-27,USD
252302,1448823,999999,2021-11-27,2021-11-30,USD
252303,403445,260,2021-11-27,2021-11-27,EUR
252304,907516,390,2021-11-27,2021-11-27,GBP
252500,578334,190,2021-11-29,2021-11-29,EUR
252600,1573459,999999,2021-11-30,2021-12-03,USD
252601,402043,240,2021-11-30,2021-11-30,EUR
252700,1410786,610,2021-12-01,2021-12-01,USD
252701,1900183,999999,2021-12-01,2021-12-04,USD
252702,2074907,570,2021-12-01,2021-12-01,USD
252800,1053973,999999,2021-12-02,2021-12-04,GBP
252801,949159,999999,2021-12-02,2021-12-04,GBP
252802,265583,100,2021-12-02,2021-12-02,CAD
252803,1354350,585,2021-12-02,2021-12-02,USD
252900,39600,50,2021-12-03,2021-12-03,AUD
252901,172261,999999,2021-12-03,2021-12-04,AUD
253000,1388684,530,2021-12-04,2021-12-04,USD
253001,414939,270,2021-12-04,2021-12-04,EUR
253002,1897756,620,2021-12-04,2021-12-04,USD
253003,1911099,610,2021-12-04,2021-12-04,USD
253004,477677,220,2021-12-04,2021-12-04,EUR
253200,287979,74,2021-12-06,2021-12-06,CAD
253300,1836658,999999,2021-12-07,2021-12-08,USD
253301,1666456,999999,2021-12-07,2021-12-09,USD
253400,2024197,999999,2021-12-08,2021-12-11,USD
253401,508509,255,2021-12-08,2021-12-08,EUR
253402,1237603,560,2021-12-08,2021-12-08,USD
253500,472650,255,2021-12-09,2021-12-09,EUR
253501,137196,999999,2021-12-09,2021-12-12,AUD
253502,1361085,510,2021-12-09,2021-12-09,USD
253503,1845517,999999,2021-12-09,2021-12-13,USD
253600,1381558,670,2021-12-10,2021-12-10,USD
253601,397373,90,2021-12-10,2021-12-10,CAD
253700,1295171,999999,2021-12-11,2021-12-13,USD
253701,193065,60,2021-12-11,2021-12-11,AUD
253702,106909,999999,2021-12-11,2021-12-14,AUD
253703,1054735,999999,2021-12-11,2021-12-15,GBP
253704,1867173,490,2021-12-11,2021-12-11,USD
253900,12689,50,2021-12-13,2021-12-13,AUD
253901,596842,260,2021-12-13,2021-12-13,EUR
254000,1801885,450,2021-12-14,2021-12-14,USD
254001,944064,400,2021-12-14,2021-12-14,GBP
254002,203687,80,2021-12-14,2021-12-14,CAD
254100,858715,310,2021-12-15,2021-12-15,EUR
254101,792270,999999,2021-12-15,2021-12-17,EUR
254102,1274207,999999,2021-12-15,2021-12-18,USD
254103,1389833,999999,2021-12-15,2021-12-19,USD
254200,352583,999999,2021-12-16,2021-12-19,CAD
254201,1558134,590,2021-12-16,2021-12-16,USD
254202,1202851,610,2021-12-16,2021-12-16,USD
254203,2055263,999999,2021-12-16,2021-12-18,USD
254204,507138,270,2021-12-16,2021-12-16,EUR
254300,1764321,610,2021-12-17,2021-12-17,USD
254301,2072548,590,2021-12-17,2021-12-17,USD
254302,1559585,585,2021-12-17,2021-12-17,USD
254400,1263744,999999,2021-12-18,2021-12-21,USD
254401,339053,999999,2021-12-18,2021-12-20,CAD
254402,383915,80,2021-12-18,2021-12-18,CAD
254403,1585316,500,2021-12-18,2021-12-18,USD
254404,1760686,999999,2021-12-18,2021-12-26,USD
254405,1219399,490,2021-12-18,2021-12-18,USD
254600,1520521,450,2021-12-20,2021-12-20,USD
254601,1571603,450,2021-12-20,2021-12-20,USD
254700,1895170,490,2021-12-21,2021-12-21,USD
254701,1769097,530,2021-12-21,2021-12-21,USD
254702,1360381,570,2021-12-21,2021-12-21,USD
254703,388862,999999,2021-12-21,2021-12-25,CAD
254800,1175076,999999,2021-12-22,2021-12-24,GBP
254801,1127498,380,2021-12-22,2021-12-22,GBP
254802,1632664,999999,2021-12-22,2021-12-27,USD
254803,546698,220,2021-12-22,2021-12-22,EUR
254804,253052,100,2021-12-22,2021-12-22,CAD
254900,170332,35,2021-12-23,2021-12-23,AUD
254901,1355393,999999,2021-12-23,2021-12-27,USD
254902,979605,380,2021-12-23,2021-12-23,GBP
254903,1046511,999999,2021-12-23,2021-12-24,GBP
254904,1921708,999999,2021-12-23,2021-12-24,USD
254905,2075269,610,2021-12-23,2021-12-23,USD
255000,1648829,650,2021-12-24,2021-12-24,USD
255001,1895731,999999,2021-12-24,2021-12-30,USD
255002,1318890,999999,2021-12-24,2021-12-27,USD
255003,913941,999999,2021-12-24,2021-12-26,GBP
255100,886929,999999,2021-12-25,2021-12-30,EUR
255101,477025,240,2021-12-25,2021-12-25,EUR
255102,1444176,510,2021-12-25,2021-12-25,USD
255103,249336,999999,2021-12-25,2021-12-29,CAD
255104,1704457,560,2021-12-25,2021-12-25,USD
255105,1890665,540,2021-12-25,2021-12-25,USD
255106,1527715,999999,2021-12-25,2021-12-26,USD
255107,567879,260,2021-12-25,2021-12-25,EUR
255300,1848846,999999,2021-12-27,2021-12-30,USD
255301,476754,240,2021-12-27,2021-12-27,EUR
255302,692617,999999,2021-12-27,2021-12-30,EUR
255400,1851238,590,2021-12-28,2021-12-28,USD
255401,1607490,605,2021-12-28,2021-12-28,USD
255402,2024043,999999,2021-12-28,2021-12-29,USD
255403,1794522,670,2021-12-28,2021-12-28,USD
255500,464129,999999,2021-12-29,2021-12-31,EUR
255501,2090360,500,2021-12-29,2021-12-29,USD
255502,1972657,999999,2021-12-29,2021-12-31,USD
255503,1171242,999999,2021-12-29,2022-01-01,GBP
255504,2076330,570,2021-12-29,2021-12-29,USD
255505,320327,80,2021-12-29,2021-12-29,CAD
255600,1944407,450,2021-12-30,2021-12-30,USD
255601,1259030,999999,2021-12-30,2022-01-02,USD
255602,1008578,999999,2021-12-30,2022-01-02,GBP
255603,1417665,999999,2021-12-30,2022-01-02,USD
255604,1506778,999999,2021-12-30,2022-01-02,USD
255605,1149404,999999,2021-12-30,2022-01-01,GBP
255700,1898879,999999,2021-12-31,2022-01-02,USD
255701,184728,999999,2021-12-31,2022-01-04,AUD
255702,1318492,620,2021-12-31,2021-12-31,USD
255703,1272114,610,2021-12-31,2021-12-31,USD
255800,443577,999999,2022-01-01,2022-01-06,EUR
255801,586914,999999,2022-01-01,2022-01-04,EUR
255802,1601106,999999,2022-01-01,2022-01-04,USD
255803,1633422,999999,2022-01-01,2022-01-04,USD
255804,1457511,540,2022-01-01,2022-01-01,USD
255805,282146,90,2022-01-01,2022-01-01,CAD
255806,1495565,660,2022-01-01,2022-01-01,USD
255807,1562915,999999,2022-01-01,2022-01-03,USD
256000,1272469,999999,2022-01-03,2022-01-08,USD
256001,1775097,999999,2022-01-03,2022-01-06,USD
256002,1330223,605,2022-01-03,2022-01-03,USD
256100,646078,140,2022-01-04,2022-01-04,EUR
256101,1966531,999999,2022-01-04,2022-01-06,USD
256102,219163,80,2022-01-04,2022-01-04,CAD
256103,1229611,470,2022-01-04,2022-01-04,USD
256200,1776213,999999,2022-01-05,2022-01-11,USD
256201,946596,420,2022-01-05,2022-01-05,GBP
256202,686875,150,2022-01-05,2022-01-05,EUR
256203,1371354,610,2022-01-05,2022-01-05,USD
256204,1662979,999999,2022-01-05,2022-01-09,USD
256300,1523078,470,2022-01-06,2022-01-06,USD
256301,1752067,510,2022-01-06,2022-01-06,USD
256302,809719,999999,2022-01-06,2022-01-11,EUR
256303,1647886,999999,2022-01-06,2022-01-12,USD
256304,495873,999999,2022-01-06,2022-01-11,EUR
256400,934973,360,2022-01-07,2022-01-07,GBP
256401,1421902,999999,2022-01-07,2022-01-09,USD
256402,400166,190,2022-01-07,2022-01-07,EUR
256500,315470,999999,2022-01-08,2022-01-11,CAD
256501,602617,999999,2022-01-08,2022-01-11,EUR
256502,368190,999999,2022-01-08,2022-01-12,CAD
256503,1571060,470,2022-01-08,2022-01-08,USD
256504,2037570,500,2022-01-08,2022-01-08,USD
256505,1382692,999999,2022-01-08,2022-01-11,USD
256700,1879820,999999,2022-01-10,2022-01-12,USD
256701,202194,80,2022-01-10,2022-01-10,CAD
256800,570649,999999,2022-01-11,2022-01-15,EUR
256801,1943453,585,2022-01-11,2022-01-11,USD
256802,296303,999999,2022-01-11,2022-01-15,CAD
256900,1957237,999999,2022-01-12,2022-01-16,USD
256901,1375444,999999,2022-01-12,2022-01-15,USD
256902,1782901,999999,2022-01-12,2022-01-15,USD
256903,399268,999999,2022-01-12,2022-01-15,CAD
257000,1978150,510,2022-01-13,2022-01-13,USD
257001,1082509,360,2022-01-13,2022-01-13,GBP
257002,621540,160,2022-01-13,2022-01-13,EUR
257003,2070090,999999,2022-01-13,2022-01-17,USD
257100,585158,999999,2022-01-14,2022-01-17,EUR
257101,1963262,999999,2022-01-14,2022-01-18,USD
257102,1490080,450,2022-01-14,2022-01-14,USD
257200,1611670,430,2022-01-15,2022-01-15,USD
257201,864156,999999,2022-01-15,2022-01-18,EUR
257202,1623448,670,2022-01-15,2022-01-15,USD
257204,619899,999999,2022-01-15,2022-01-18,EUR
257400,930299,400,2022-01-17,2022-01-17,GBP
257401,1589327,999999,2022-01-17,2022-01-18,USD
257500,222269,999999,2022-01-18,2022-01-21,CAD
257501,279004,999999,2022-01-18,2022-01-21,CAD
257502,1313869,660,2022-01-18,2022-01-18,USD
257600,1835207,999999,2022-01-19,2022-01-21,USD
257601,586333,270,2022-01-19,2022-01-19,EUR
257602,140852,35,2022-01-19,2022-01-19,AUD
257603,819917,320,2022-01-19,2022-01-19,EUR
257700,1976320,530,2022-01-20,2022-01-20,USD
257701,1960398,999999,2022-01-20,2022-01-23,USD
257702,1096985,400,2022-01-20,2022-01-20,GBP
257703,533474,999999,2022-01-20,2022-01-23,EUR
257800,310978,999999,2022-01-21,2022-01-27,CAD
257801,1778155,605,2022-01-21,2022-01-21,USD
257802,1802624,440,2022-01-21,2022-01-21,USD
257900,2039546,590,2022-01-22,2022-01-22,USD
257901,2053334,999999,2022-01-22,2022-01-23,USD
257902,1764315,500,2022-01-22,2022-01-22,USD
257903,1392056,510,2022-01-22,2022-01-22,USD
257904,1908461,999999,2022-01-22,2022-01-24,USD
257905,234700,74,2022-01-22,2022-01-22,CAD
258100,526402,270,2022-01-24,2022-01-24,EUR
258101,349719,100,2022-01-24,2022-01-24,CAD
258200,1842761,999999,2022-01-25,2022-01-30,USD
258201,41329,10,2022-01-25,2022-01-25,AUD
258202,1330661,670,2022-01-25,2022-01-25,USD
258300,1805914,999999,2022-01-26,2022-01-28,USD
258301,1364953,610,2022-01-26,2022-01-26,USD
258302,843700,340,2022-01-26,2022-01-26,EUR
258303,1735830,470,2022-01-26,2022-01-26,USD
258400,1190907,999999,2022-01-27,2022-02-01,GBP
258401,172093,40,2022-01-27,2022-01-27,AUD
258402,187841,60,2022-01-27,2022-01-27,AUD
258403,97243,999999,2022-01-27,2022-01-29,AUD
258500,185591,50,2022-01-28,2022-01-28,AUD
258501,539727,999999,2022-01-28,2022-02-03,EUR
258502,1646447,510,2022-01-28,2022-01-28,USD
258600,1784094,490,2022-01-29,2022-01-29,USD
258601,1681130,999999,2022-01-29,2022-01-31,USD
258602,1886705,999999,2022-01-29,2022-02-02,USD
258603,2035072,530,2022-01-29,2022-01-29,USD
258604,1934292,999999,2022-01-29,2022-01-31,USD
258605,2043686,999999,2022-01-29,2022-02-02,USD
258800,303647,74,2022-01-31,2022-01-31,CAD
258801,2044605,490,2022-01-31,2022-01-31,USD
258900,1787911,999999,2022-02-01,2022-02-05,USD
258901,449591,270,2022-02-01,2022-02-01,EUR
258902,88429,999999,2022-02-01,2022-02-08,AUD
259000,1758772,450,2022-02-02,2022-02-02,USD
259001,1751437,999999,2022-02-02,2022-02-04,USD
259002,28943,999999,2022-02-02,2022-02-06,AUD
259003,1579797,999999,2022-02-02,2022-02-05,USD
259100,540644,999999,2022-02-03,2022-02-06,EUR
259101,1703393,999999,2022-02-03,2022-02-06,USD
259102,1369415,470,2022-02-03,2022-02-03,USD
259103,1818185,590,2022-02-03,2022-02-03,USD
259104,627501,999999,2022-02-03,2022-02-07,EUR
259200,1611456,480,2022-02-04,2022-02-04,USD
259201,960680,360,2022-02-04,2022-02-04,GBP
259202,1454323,570,2022-02-04,2022-02-04,USD
259300,1464960,999999,2022-02-05,2022-02-08,USD
