Date,FromCurrency,ToCurrency,Exchange
2015-01-04,USD,AUD,1.23233
2015-01-04,USD,CAD,1.16823
2015-01-04,USD,EUR,0.83036
2015-01-04,USD,GBP,0.64768
2015-01-04,USD,USD,1.00000
2015-01-05,AUD,AUD,1.00000
2015-01-05,AUD,CAD,0.95161
2015-01-05,AUD,EUR,0.67774
2015-01-05,AUD,GBP,0.53046
2015-01-05,AUD,USD,0.80752
2015-01-05,CAD,AUD,1.05085
2015-01-05,CAD,CAD,1.00000
2015-01-05,CAD,EUR,0.71220
2015-01-05,CAD,GBP,0.55744
2015-01-05,CAD,USD,0.84859
2015-01-05,EUR,AUD,1.4755
2015-01-05,EUR,CAD,1.4041
2015-01-05,EUR,EUR,1.0
2015-01-05,EUR,GBP,0.7827
2015-01-05,EUR,USD,1.1915
2015-01-05,GBP,AUD,1.88514
2015-01-05,GBP,CAD,1.79392
2015-01-05,GBP,EUR,1.27763
2015-01-05,GBP,GBP,1.00000
2015-01-05,GBP,USD,1.52229
2015-01-05,USD,AUD,1.23836
2015-01-05,USD,CAD,1.17843
2015-01-05,USD,EUR,0.83928
2015-01-05,USD,GBP,0.65690
2015-01-05,USD,USD,1.00000
2015-01-06,AUD,AUD,1.00000
2015-01-06,AUD,CAD,0.95724
2015-01-06,AUD,EUR,0.68306
2015-01-06,AUD,GBP,0.53566
2015-01-06,AUD,USD,0.81380
2015-01-06,CAD,AUD,1.04467
2015-01-06,CAD,CAD,1.00000
2015-01-06,CAD,EUR,0.71357
2015-01-06,CAD,GBP,0.55958
2015-01-06,CAD,USD,0.85015
2015-01-06,EUR,AUD,1.464
2015-01-06,EUR,CAD,1.4014
2015-01-06,EUR,EUR,1.0
2015-01-06,EUR,GBP,0.7842
2015-01-06,EUR,USD,1.1914
2015-01-06,GBP,AUD,1.86687
2015-01-06,GBP,CAD,1.78704
2015-01-06,GBP,EUR,1.27518
2015-01-06,GBP,GBP,1.00000
2015-01-06,GBP,USD,1.51926
2015-01-06,USD,AUD,1.22881
2015-01-06,USD,CAD,1.17626
2015-01-06,USD,EUR,0.83935
2015-01-06,USD,GBP,0.65822
2015-01-06,USD,USD,1.00000
2015-01-07,AUD,AUD,1.00000
2015-01-07,AUD,CAD,0.95471
2015-01-07,AUD,EUR,0.68213
2015-01-07,AUD,GBP,0.53363
2015-01-07,AUD,USD,0.80703
2015-01-07,CAD,AUD,1.04744
2015-01-07,CAD,CAD,1.00000
2015-01-07,CAD,EUR,0.71449
2015-01-07,CAD,GBP,0.55895
2015-01-07,CAD,USD,0.84531
2015-01-07,EUR,AUD,1.466
2015-01-07,EUR,CAD,1.3996
2015-01-07,EUR,EUR,1.0
2015-01-07,EUR,GBP,0.7823
2015-01-07,EUR,USD,1.1831
2015-01-07,GBP,AUD,1.87396
2015-01-07,GBP,CAD,1.78908
2015-01-07,GBP,EUR,1.27828
2015-01-07,GBP,GBP,1.00000
2015-01-07,GBP,USD,1.51234
2015-01-07,USD,AUD,1.23912
2015-01-07,USD,CAD,1.18299
2015-01-07,USD,EUR,0.84524
2015-01-07,USD,GBP,0.66123
2015-01-07,USD,USD,1.00000
2015-01-08,AUD,AUD,1.00000
2015-01-08,AUD,CAD,0.95778
2015-01-08,AUD,EUR,0.68880
2015-01-08,AUD,GBP,0.53802
2015-01-08,AUD,USD,0.81058
2015-01-08,CAD,AUD,1.04408
2015-01-08,CAD,CAD,1.00000
2015-01-08,CAD,EUR,0.71917
2015-01-08,CAD,GBP,0.56174
2015-01-08,CAD,USD,0.84631
2015-01-08,EUR,AUD,1.4518
2015-01-08,EUR,CAD,1.3905
2015-01-08,EUR,EUR,1.0
2015-01-08,EUR,GBP,0.7811
2015-01-08,EUR,USD,1.1768
2015-01-08,GBP,AUD,1.85866
2015-01-08,GBP,CAD,1.78018
2015-01-08,GBP,EUR,1.28025
2015-01-08,GBP,GBP,1.00000
2015-01-08,GBP,USD,1.50659
2015-01-08,USD,AUD,1.23368
2015-01-08,USD,CAD,1.18159
2015-01-08,USD,EUR,0.84976
2015-01-08,USD,GBP,0.66375
2015-01-08,USD,USD,1.00000
2015-01-09,AUD,AUD,1.00000
2015-01-09,AUD,CAD,0.96257
2015-01-09,AUD,EUR,0.68937
2015-01-09,AUD,GBP,0.53764
2015-01-09,AUD,USD,0.81435
2015-01-09,CAD,AUD,1.03889
2015-01-09,CAD,CAD,1.00000
2015-01-09,CAD,EUR,0.71618
2015-01-09,CAD,GBP,0.55855
2015-01-09,CAD,USD,0.84602
2015-01-09,EUR,AUD,1.4506
2015-01-09,EUR,CAD,1.3963
2015-01-09,EUR,EUR,1.0
2015-01-09,EUR,GBP,0.7799
2015-01-09,EUR,USD,1.1813
2015-01-09,GBP,AUD,1.85998
2015-01-09,GBP,CAD,1.79036
2015-01-09,GBP,EUR,1.28222
2015-01-09,GBP,GBP,1.00000
2015-01-09,GBP,USD,1.51468
2015-01-09,USD,AUD,1.22797
2015-01-09,USD,CAD,1.18200
2015-01-09,USD,EUR,0.84653
2015-01-09,USD,GBP,0.66020
2015-01-09,USD,USD,1.00000
2015-01-10,AUD,AUD,1.00000
2015-01-10,AUD,CAD,0.96257
2015-01-10,AUD,EUR,0.68937
2015-01-10,AUD,GBP,0.53764
2015-01-10,AUD,USD,0.81435
2015-01-10,CAD,AUD,1.03889
2015-01-10,CAD,CAD,1.00000
2015-01-10,CAD,EUR,0.71618
2015-01-10,CAD,GBP,0.55855
2015-01-10,CAD,USD,0.84602
2015-01-10,EUR,AUD,1.4506
2015-01-10,EUR,CAD,1.3963
2015-01-10,EUR,EUR,1.0
2015-01-10,EUR,GBP,0.7799
2015-01-10,EUR,USD,1.1813
2015-01-10,GBP,AUD,1.85998
2015-01-10,GBP,CAD,1.79036
2015-01-10,GBP,EUR,1.28222
2015-01-10,GBP,GBP,1.00000
2015-01-10,GBP,USD,1.51468
2015-01-10,USD,AUD,1.22797
2015-01-10,USD,CAD,1.18200
2015-01-10,USD,EUR,0.84653
2015-01-10,USD,GBP,0.66020
2015-01-10,USD,USD,1.00000
2015-01-11,AUD,AUD,1.00000
2015-01-11,AUD,CAD,0.96257
2015-01-11,AUD,EUR,0.68937
2015-01-11,AUD,GBP,0.53764
2015-01-11,AUD,USD,0.81435
2015-01-11,CAD,AUD,1.03889
2015-01-11,CAD,CAD,1.00000
2015-01-11,CAD,EUR,0.71618
2015-01-11,CAD,GBP,0.55855
2015-01-11,CAD,USD,0.84602
2015-01-11,EUR,AUD,1.4506
2015-01-11,EUR,CAD,1.3963
2015-01-11,EUR,EUR,1.0
2015-01-11,EUR,GBP,0.7799
2015-01-11,EUR,USD,1.1813
2015-01-11,GBP,AUD,1.85998
2015-01-11,GBP,CAD,1.79036
2015-01-11,GBP,EUR,1.28222
2015-01-11,GBP,GBP,1.00000
2015-01-11,GBP,USD,1.51468
2015-01-11,USD,AUD,1.22797
2015-01-11,USD,CAD,1.18200
2015-01-11,USD,EUR,0.84653
2015-01-11,USD,GBP,0.66020
2015-01-11,USD,USD,1.00000
2015-01-12,AUD,AUD,1.00000
2015-01-12,AUD,CAD,0.96862
2015-01-12,AUD,EUR,0.68975
2015-01-12,AUD,GBP,0.53738
2015-01-12,AUD,USD,0.81418
2015-01-12,CAD,AUD,1.03240
2015-01-12,CAD,CAD,1.00000
2015-01-12,CAD,EUR,0.71210
2015-01-12,CAD,GBP,0.55480
2015-01-12,CAD,USD,0.84056
2015-01-12,EUR,AUD,1.4498
2015-01-12,EUR,CAD,1.4043
2015-01-12,EUR,EUR,1.0
2015-01-12,EUR,GBP,0.7791
2015-01-12,EUR,USD,1.1804
2015-01-12,GBP,AUD,1.86087
2015-01-12,GBP,CAD,1.80246
2015-01-12,GBP,EUR,1.28353
2015-01-12,GBP,GBP,1.00000
2015-01-12,GBP,USD,1.51508
2015-01-12,USD,AUD,1.22823
2015-01-12,USD,CAD,1.18968
2015-01-12,USD,EUR,0.84717
2015-01-12,USD,GBP,0.66003
2015-01-12,USD,USD,1.00000
2015-01-13,AUD,AUD,1.00000
2015-01-13,AUD,CAD,0.97625
2015-01-13,AUD,EUR,0.69247
2015-01-13,AUD,GBP,0.53784
2015-01-13,AUD,USD,0.81587
2015-01-13,CAD,AUD,1.02433
2015-01-13,CAD,CAD,1.00000
2015-01-13,CAD,EUR,0.70932
2015-01-13,CAD,GBP,0.55093
2015-01-13,CAD,USD,0.83572
2015-01-13,EUR,AUD,1.4441
2015-01-13,EUR,CAD,1.4098
2015-01-13,EUR,EUR,1.0
2015-01-13,EUR,GBP,0.7767
2015-01-13,EUR,USD,1.1782
2015-01-13,GBP,AUD,1.85928
2015-01-13,GBP,CAD,1.81512
2015-01-13,GBP,EUR,1.28750
2015-01-13,GBP,GBP,1.00000
2015-01-13,GBP,USD,1.51693
2015-01-13,USD,AUD,1.22568
2015-01-13,USD,CAD,1.19657
2015-01-13,USD,EUR,0.84875
2015-01-13,USD,GBP,0.65923
2015-01-13,USD,USD,1.00000
2015-01-14,AUD,AUD,1.00000
2015-01-14,AUD,CAD,0.97347
2015-01-14,AUD,EUR,0.69094
2015-01-14,AUD,GBP,0.53569
2015-01-14,AUD,USD,0.81358
2015-01-14,CAD,AUD,1.02726
2015-01-14,CAD,CAD,1.00000
2015-01-14,CAD,EUR,0.70977
2015-01-14,CAD,GBP,0.55029
2015-01-14,CAD,USD,0.83576
2015-01-14,EUR,AUD,1.4473
2015-01-14,EUR,CAD,1.4089
2015-01-14,EUR,EUR,1.0
2015-01-14,EUR,GBP,0.7753
2015-01-14,EUR,USD,1.1775
2015-01-14,GBP,AUD,1.86676
2015-01-14,GBP,CAD,1.81723
2015-01-14,GBP,EUR,1.28982
2015-01-14,GBP,GBP,1.00000
2015-01-14,GBP,USD,1.51877
2015-01-14,USD,AUD,1.22913
2015-01-14,USD,CAD,1.19652
2015-01-14,USD,EUR,0.84926
2015-01-14,USD,GBP,0.65843
2015-01-14,USD,USD,1.00000
2015-01-15,AUD,AUD,1.00000
2015-01-15,AUD,CAD,0.97964
2015-01-15,AUD,EUR,0.70706
2015-01-15,AUD,GBP,0.54246
2015-01-15,AUD,USD,0.82783
2015-01-15,CAD,AUD,1.02079
2015-01-15,CAD,CAD,1.00000
2015-01-15,CAD,EUR,0.72176
2015-01-15,CAD,GBP,0.55374
2015-01-15,CAD,USD,0.84504
2015-01-15,EUR,AUD,1.4143
2015-01-15,EUR,CAD,1.3855
2015-01-15,EUR,EUR,1.0
2015-01-15,EUR,GBP,0.7672
2015-01-15,EUR,USD,1.1708
2015-01-15,GBP,AUD,1.84346
2015-01-15,GBP,CAD,1.80592
2015-01-15,GBP,EUR,1.30344
2015-01-15,GBP,GBP,1.00000
2015-01-15,GBP,USD,1.52607
2015-01-15,USD,AUD,1.20798
2015-01-15,USD,CAD,1.18338
2015-01-15,USD,EUR,0.85412
2015-01-15,USD,GBP,0.65528
2015-01-15,USD,USD,1.00000
2015-01-16,AUD,AUD,1.00000
2015-01-16,AUD,CAD,0.98817
2015-01-16,AUD,EUR,0.70857
2015-01-16,AUD,GBP,0.54113
2015-01-16,AUD,USD,0.82109
2015-01-16,CAD,AUD,1.01197
2015-01-16,CAD,CAD,1.00000
2015-01-16,CAD,EUR,0.71705
2015-01-16,CAD,GBP,0.54761
2015-01-16,CAD,USD,0.83092
2015-01-16,EUR,AUD,1.4113
2015-01-16,EUR,CAD,1.3946
2015-01-16,EUR,EUR,1.0
2015-01-16,EUR,GBP,0.7637
2015-01-16,EUR,USD,1.1588
2015-01-16,GBP,AUD,1.84798
2015-01-16,GBP,CAD,1.82611
2015-01-16,GBP,EUR,1.30941
2015-01-16,GBP,GBP,1.00000
2015-01-16,GBP,USD,1.51735
2015-01-16,USD,AUD,1.21790
2015-01-16,USD,CAD,1.20349
2015-01-16,USD,EUR,0.86296
2015-01-16,USD,GBP,0.65904
2015-01-16,USD,USD,1.00000
2015-01-17,AUD,AUD,1.00000
2015-01-17,AUD,CAD,0.98817
2015-01-17,AUD,EUR,0.70857
2015-01-17,AUD,GBP,0.54113
2015-01-17,AUD,USD,0.82109
2015-01-17,CAD,AUD,1.01197
2015-01-17,CAD,CAD,1.00000
2015-01-17,CAD,EUR,0.71705
2015-01-17,CAD,GBP,0.54761
2015-01-17,CAD,USD,0.83092
2015-01-17,EUR,AUD,1.4113
2015-01-17,EUR,CAD,1.3946
2015-01-17,EUR,EUR,1.0
2015-01-17,EUR,GBP,0.7637
2015-01-17,EUR,USD,1.1588
2015-01-17,GBP,AUD,1.84798
2015-01-17,GBP,CAD,1.82611
2015-01-17,GBP,EUR,1.30941
2015-01-17,GBP,GBP,1.00000
2015-01-17,GBP,USD,1.51735
2015-01-17,USD,AUD,1.21790
2015-01-17,USD,CAD,1.20349
2015-01-17,USD,EUR,0.86296
2015-01-17,USD,GBP,0.65904
2015-01-17,USD,USD,1.00000
2015-01-18,AUD,AUD,1.00000
2015-01-18,AUD,CAD,0.98817
2015-01-18,AUD,EUR,0.70857
2015-01-18,AUD,GBP,0.54113
2015-01-18,AUD,USD,0.82109
2015-01-18,CAD,AUD,1.01197
2015-01-18,CAD,CAD,1.00000
2015-01-18,CAD,EUR,0.71705
2015-01-18,CAD,GBP,0.54761
2015-01-18,CAD,USD,0.83092
2015-01-18,EUR,AUD,1.4113
2015-01-18,EUR,CAD,1.3946
2015-01-18,EUR,EUR,1.0
2015-01-18,EUR,GBP,0.7637
2015-01-18,EUR,USD,1.1588
2015-01-18,GBP,AUD,1.84798
2015-01-18,GBP,CAD,1.82611
2015-01-18,GBP,EUR,1.30941
2015-01-18,GBP,GBP,1.00000
2015-01-18,GBP,USD,1.51735
2015-01-18,USD,AUD,1.21790
2015-01-18,USD,CAD,1.20349
2015-01-18,USD,EUR,0.86296
2015-01-18,USD,GBP,0.65904
2015-01-18,USD,USD,1.00000
2015-01-19,AUD,AUD,1.00000
2015-01-19,AUD,CAD,0.98387
2015-01-19,AUD,EUR,0.70751
2015-01-19,AUD,GBP,0.54224
2015-01-19,AUD,USD,0.82107
2015-01-19,CAD,AUD,1.01640
2015-01-19,CAD,CAD,1.00000
2015-01-19,CAD,EUR,0.71911
2015-01-19,CAD,GBP,0.55113
2015-01-19,CAD,USD,0.83453
2015-01-19,EUR,AUD,1.4134
2015-01-19,EUR,CAD,1.3906
2015-01-19,EUR,EUR,1.0
2015-01-19,EUR,GBP,0.7664
2015-01-19,EUR,USD,1.1605
2015-01-19,GBP,AUD,1.84421
2015-01-19,GBP,CAD,1.81446
2015-01-19,GBP,EUR,1.30480
2015-01-19,GBP,GBP,1.00000
2015-01-19,GBP,USD,1.51422
2015-01-19,USD,AUD,1.21792
2015-01-19,USD,CAD,1.19828
2015-01-19,USD,EUR,0.86170
2015-01-19,USD,GBP,0.66040
2015-01-19,USD,USD,1.00000
2015-01-20,AUD,AUD,1.00000
2015-01-20,AUD,CAD,0.98492
2015-01-20,AUD,EUR,0.70806
2015-01-20,AUD,GBP,0.54075
2015-01-20,AUD,USD,0.81987
2015-01-20,CAD,AUD,1.01531
2015-01-20,CAD,CAD,1.00000
2015-01-20,CAD,EUR,0.71891
2015-01-20,CAD,GBP,0.54903
2015-01-20,CAD,USD,0.83242
2015-01-20,EUR,AUD,1.4123
2015-01-20,EUR,CAD,1.391
2015-01-20,EUR,EUR,1.0
2015-01-20,EUR,GBP,0.7637
2015-01-20,EUR,USD,1.1579
2015-01-20,GBP,AUD,1.84929
2015-01-20,GBP,CAD,1.82140
2015-01-20,GBP,EUR,1.30941
2015-01-20,GBP,GBP,1.00000
2015-01-20,GBP,USD,1.51617
2015-01-20,USD,AUD,1.21971
2015-01-20,USD,CAD,1.20131
2015-01-20,USD,EUR,0.86363
2015-01-20,USD,GBP,0.65956
2015-01-20,USD,USD,1.00000
2015-01-21,AUD,AUD,1.00000
2015-01-21,AUD,CAD,0.99192
2015-01-21,AUD,EUR,0.70857
2015-01-21,AUD,GBP,0.54354
2015-01-21,AUD,USD,0.82144
2015-01-21,CAD,AUD,1.00814
2015-01-21,CAD,CAD,1.00000
2015-01-21,CAD,EUR,0.71434
2015-01-21,CAD,GBP,0.54797
2015-01-21,CAD,USD,0.82813
2015-01-21,EUR,AUD,1.4113
2015-01-21,EUR,CAD,1.3999
2015-01-21,EUR,EUR,1.0
2015-01-21,EUR,GBP,0.7671
2015-01-21,EUR,USD,1.1593
2015-01-21,GBP,AUD,1.83979
2015-01-21,GBP,CAD,1.82493
2015-01-21,GBP,EUR,1.30361
2015-01-21,GBP,GBP,1.00000
2015-01-21,GBP,USD,1.51128
2015-01-21,USD,AUD,1.21737
2015-01-21,USD,CAD,1.20754
2015-01-21,USD,EUR,0.86259
2015-01-21,USD,GBP,0.66169
2015-01-21,USD,USD,1.00000
2015-01-22,AUD,AUD,1.00000
2015-01-22,AUD,CAD,1.00378
2015-01-22,AUD,EUR,0.69935
2015-01-22,AUD,GBP,0.53458
2015-01-22,AUD,USD,0.81250
2015-01-22,CAD,AUD,0.99624
2015-01-22,CAD,CAD,1.00000
2015-01-22,CAD,EUR,0.69672
2015-01-22,CAD,GBP,0.53257
2015-01-22,CAD,USD,0.80945
2015-01-22,EUR,AUD,1.4299
2015-01-22,EUR,CAD,1.4353
2015-01-22,EUR,EUR,1.0
2015-01-22,EUR,GBP,0.7644
2015-01-22,EUR,USD,1.1618
2015-01-22,GBP,AUD,1.87062
2015-01-22,GBP,CAD,1.87768
2015-01-22,GBP,EUR,1.30822
2015-01-22,GBP,GBP,1.00000
2015-01-22,GBP,USD,1.51988
2015-01-22,USD,AUD,1.23076
2015-01-22,USD,CAD,1.23541
2015-01-22,USD,EUR,0.86073
2015-01-22,USD,GBP,0.65794
2015-01-22,USD,USD,1.00000
2015-01-23,AUD,AUD,1.00000
2015-01-23,AUD,CAD,0.98363
2015-01-23,AUD,EUR,0.70577
2015-01-23,AUD,GBP,0.52742
2015-01-23,AUD,USD,0.79032
2015-01-23,CAD,AUD,1.01665
2015-01-23,CAD,CAD,1.00000
2015-01-23,CAD,EUR,0.71751
2015-01-23,CAD,GBP,0.53620
2015-01-23,CAD,USD,0.80347
2015-01-23,EUR,AUD,1.4169
2015-01-23,EUR,CAD,1.3937
2015-01-23,EUR,EUR,1.0
2015-01-23,EUR,GBP,0.7473
2015-01-23,EUR,USD,1.1198
2015-01-23,GBP,AUD,1.89603
2015-01-23,GBP,CAD,1.86498
2015-01-23,GBP,EUR,1.33815
2015-01-23,GBP,GBP,1.00000
2015-01-23,GBP,USD,1.49846
2015-01-23,USD,AUD,1.26532
2015-01-23,USD,CAD,1.24460
2015-01-23,USD,EUR,0.89302
2015-01-23,USD,GBP,0.66735
2015-01-23,USD,USD,1.00000
2015-01-24,AUD,AUD,1.00000
2015-01-24,AUD,CAD,0.98363
2015-01-24,AUD,EUR,0.70577
2015-01-24,AUD,GBP,0.52742
2015-01-24,AUD,USD,0.79032
2015-01-24,CAD,AUD,1.01665
2015-01-24,CAD,CAD,1.00000
2015-01-24,CAD,EUR,0.71751
2015-01-24,CAD,GBP,0.53620
2015-01-24,CAD,USD,0.80347
2015-01-24,EUR,AUD,1.4169
2015-01-24,EUR,CAD,1.3937
2015-01-24,EUR,EUR,1.0
2015-01-24,EUR,GBP,0.7473
2015-01-24,EUR,USD,1.1198
2015-01-24,GBP,AUD,1.89603
2015-01-24,GBP,CAD,1.86498
2015-01-24,GBP,EUR,1.33815
2015-01-24,GBP,GBP,1.00000
2015-01-24,GBP,USD,1.49846
2015-01-24,USD,AUD,1.26532
2015-01-24,USD,CAD,1.24460
2015-01-24,USD,EUR,0.89302
2015-01-24,USD,GBP,0.66735
2015-01-24,USD,USD,1.00000
2015-01-25,AUD,AUD,1.00000
2015-01-25,AUD,CAD,0.98363
2015-01-25,AUD,EUR,0.70577
2015-01-25,AUD,GBP,0.52742
2015-01-25,AUD,USD,0.79032
2015-01-25,CAD,AUD,1.01665
2015-01-25,CAD,CAD,1.00000
2015-01-25,CAD,EUR,0.71751
2015-01-25,CAD,GBP,0.53620
2015-01-25,CAD,USD,0.80347
2015-01-25,EUR,AUD,1.4169
2015-01-25,EUR,CAD,1.3937
2015-01-25,EUR,EUR,1.0
2015-01-25,EUR,GBP,0.7473
2015-01-25,EUR,USD,1.1198
2015-01-25,GBP,AUD,1.89603
2015-01-25,GBP,CAD,1.86498
2015-01-25,GBP,EUR,1.33815
2015-01-25,GBP,GBP,1.00000
2015-01-25,GBP,USD,1.49846
2015-01-25,USD,AUD,1.26532
2015-01-25,USD,CAD,1.24460
2015-01-25,USD,EUR,0.89302
2015-01-25,USD,GBP,0.66735
2015-01-25,USD,USD,1.00000
2015-01-26,AUD,AUD,1.00000
2015-01-26,AUD,CAD,0.98468
2015-01-26,AUD,EUR,0.70289
2015-01-26,AUD,GBP,0.52643
2015-01-26,AUD,USD,0.79033
2015-01-26,CAD,AUD,1.01556
2015-01-26,CAD,CAD,1.00000
2015-01-26,CAD,EUR,0.71383
2015-01-26,CAD,GBP,0.53462
2015-01-26,CAD,USD,0.80263
2015-01-26,EUR,AUD,1.4227
2015-01-26,EUR,CAD,1.4009
2015-01-26,EUR,EUR,1.0
2015-01-26,EUR,GBP,0.74895
2015-01-26,EUR,USD,1.1244
2015-01-26,GBP,AUD,1.89959
2015-01-26,GBP,CAD,1.87049
2015-01-26,GBP,EUR,1.33520
2015-01-26,GBP,GBP,1.00000
2015-01-26,GBP,USD,1.50130
2015-01-26,USD,AUD,1.26530
2015-01-26,USD,CAD,1.24591
2015-01-26,USD,EUR,0.88936
2015-01-26,USD,GBP,0.66609
2015-01-26,USD,USD,1.00000
2015-01-27,AUD,AUD,1.00000
2015-01-27,AUD,CAD,0.98960
2015-01-27,AUD,EUR,0.70259
2015-01-27,AUD,GBP,0.52501
2015-01-27,AUD,USD,0.79435
2015-01-27,CAD,AUD,1.01051
2015-01-27,CAD,CAD,1.00000
2015-01-27,CAD,EUR,0.70998
2015-01-27,CAD,GBP,0.53053
2015-01-27,CAD,USD,0.80270
2015-01-27,EUR,AUD,1.4233
2015-01-27,EUR,CAD,1.4085
2015-01-27,EUR,EUR,1.0
2015-01-27,EUR,GBP,0.74725
2015-01-27,EUR,USD,1.1306
2015-01-27,GBP,AUD,1.90472
2015-01-27,GBP,CAD,1.88491
2015-01-27,GBP,EUR,1.33824
2015-01-27,GBP,GBP,1.00000
2015-01-27,GBP,USD,1.51301
2015-01-27,USD,AUD,1.25889
2015-01-27,USD,CAD,1.24580
2015-01-27,USD,EUR,0.88449
2015-01-27,USD,GBP,0.66093
2015-01-27,USD,USD,1.00000
2015-01-28,AUD,AUD,1.00000
2015-01-28,AUD,CAD,0.98988
2015-01-28,AUD,EUR,0.70254
2015-01-28,AUD,GBP,0.52452
2015-01-28,AUD,USD,0.79697
2015-01-28,CAD,AUD,1.01022
2015-01-28,CAD,CAD,1.00000
2015-01-28,CAD,EUR,0.70972
2015-01-28,CAD,GBP,0.52988
2015-01-28,CAD,USD,0.80511
2015-01-28,EUR,AUD,1.4234
2015-01-28,EUR,CAD,1.409
2015-01-28,EUR,EUR,1.0
2015-01-28,EUR,GBP,0.7466
2015-01-28,EUR,USD,1.1344
2015-01-28,GBP,AUD,1.90651
2015-01-28,GBP,CAD,1.88722
2015-01-28,GBP,EUR,1.33941
2015-01-28,GBP,GBP,1.00000
2015-01-28,GBP,USD,1.51942
2015-01-28,USD,AUD,1.25476
2015-01-28,USD,CAD,1.24207
2015-01-28,USD,EUR,0.88152
2015-01-28,USD,GBP,0.65815
2015-01-28,USD,USD,1.00000
2015-01-29,AUD,AUD,1.00000
2015-01-29,AUD,CAD,0.97551
2015-01-29,AUD,EUR,0.68799
2015-01-29,AUD,GBP,0.51445
2015-01-29,AUD,USD,0.77847
2015-01-29,CAD,AUD,1.02511
2015-01-29,CAD,CAD,1.00000
2015-01-29,CAD,EUR,0.70527
2015-01-29,CAD,GBP,0.52736
2015-01-29,CAD,USD,0.79801
2015-01-29,EUR,AUD,1.4535
2015-01-29,EUR,CAD,1.4179
2015-01-29,EUR,EUR,1.0
