OrderKey,LineNumber,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost
235200,0,1590,3,29.757,29.757,9.854
235201,0,1656,7,207.987,207.987,95.641
235201,1,1589,3,12.987,12.20778,6.617
235300,0,1689,2,4.482,4.482,2.286
235300,1,1391,2,55.986,55.986,25.746
235300,2,1694,3,7.992,7.03296,3.672
235301,0,1712,3,63.117,56.17413,29.025
235301,1,2498,1,33.208,33.208,16.926
235400,0,1468,1,264.6,232.848,121.674
235500,0,1748,5,98.1,88.29,32.499
235500,1,425,3,553.5,553.5,282.195
235501,0,419,2,553.5,553.5,282.195
235501,1,2102,2,711.9,626.472,327.375
235501,2,1660,3,376.987,376.987,124.904
235501,3,1658,6,142.987,142.987,72.904
235501,4,1481,5,320.6,320.6,147.434
235501,5,2316,1,71.955,64.03995,36.684
235501,6,116,2,161.4905,161.4905,82.3365
235502,0,437,3,749.85,749.85,382.29
235502,1,1600,5,75.244,75.244,34.606
235502,2,1439,1,421.4,383.474,193.788
235800,0,165,8,725.3345,725.3345,369.797
235800,1,1434,2,375.2,345.184,172.536
235800,2,1734,1,25.2,25.2,12.852
235800,3,73,3,43.155,43.155,19.845
235900,0,1698,4,6.291,5.59899,3.204
235901,0,1677,1,4.491,4.491,2.286
236000,0,1640,4,29.757,26.7813,9.854
236000,1,690,2,342,318.06,113.31
236001,0,2112,2,711.9,619.353,327.375
236001,1,422,9,1453.5,1453.5,481.575
236100,0,1686,1,6.291,6.291,3.204
236200,0,1401,1,56.266,56.266,25.872
236201,0,1478,4,420,361.2,193.144
236201,1,1354,1,40.586,34.90396,18.662
236202,0,1648,8,142.987,135.83765,72.904
236202,1,1560,4,462,397.32,212.464
236500,0,1329,2,23.786,23.786,10.934
236500,1,1697,1,4.851,4.22037,2.475
236600,0,2500,6,33.208,33.208,16.926
236600,1,2515,2,4.69,4.221,2.394
236601,0,1426,3,824.6,824.6,273.21
236601,1,2459,2,194.058,170.77104,64.296
236700,0,1618,2,76.687,69.0183,35.269
236700,1,7,3,19.413,19.413,9.9
236701,0,396,2,1948.5,1695.195,645.57
236701,1,1429,2,404.6,404.6,186.06
236701,2,1478,1,420,420,193.144
236800,0,450,1,1378.5,1199.295,456.72
236900,0,2112,2,711.9,711.9,327.375
236900,1,818,4,17.25,15.0075,7.935
236901,0,84,4,89.991,89.991,41.382
236902,0,1483,9,376.6,331.408,173.18
236902,1,64,2,162.9,162.9,74.916
236902,2,522,1,418.5,372.465,192.45
236902,3,856,3,193.5,172.215,88.98
237200,0,1532,2,392,341.04,180.264
237300,0,1825,1,28.8,25.92,14.679
237300,1,1228,5,1782,1603.8,590.414
237301,0,905,3,113.985,106.00605,58.11
237301,1,77,2,34.155,30.7395,15.705
237301,2,1561,6,562.8,534.66,186.466
237400,0,308,5,475,451.25,218.4335
237401,0,1467,6,421.4,379.26,193.788
237401,1,2097,1,711.9,711.9,327.375
237401,2,1776,1,38.7,38.7,19.728
237401,3,716,3,313.5,282.15,103.875
237500,0,1694,3,7.992,7.992,3.672
237500,1,76,1,34.155,32.1057,15.705
237600,0,70,7,43.155,38.8395,19.845
237601,0,449,1,523.5,523.5,240.735
237602,0,1698,6,6.291,5.78772,3.204
237602,1,1339,1,50.386,50.386,23.17
237602,2,1424,2,280,280,128.758
237602,3,867,5,104.985,93.43665,48.285
237602,4,595,1,376.5,376.5,124.74
237602,5,1333,2,46.186,46.186,21.238
237800,0,457,4,329.925,287.03475,168.21
237900,0,1730,2,69.912,69.912,32.148
238000,0,1164,1,198,188.1,100.947
238000,1,556,3,748.5,748.5,381.6
238000,2,49,2,179.955,156.56085,82.755
238000,3,1501,3,320.6,282.128,147.434
238000,4,156,1,446.4715,428.61264,205.314
238001,0,322,3,350.55,350.55,161.2055
238100,0,1819,7,28.8,25.056,14.679
238101,0,545,1,688.5,612.765,228.12
238101,1,140,1,474.9905,474.9905,218.4335
238200,0,306,3,350.55,311.9895,161.2055
238200,1,370,2,574.425,551.448,292.86
238200,2,2442,7,8.991,8.991,4.581
238300,0,1691,2,4.851,4.55994,2.475
238301,0,2039,1,161.991,160.37109,74.493
238302,0,1312,3,225.5,209.715,103.697
238302,1,424,3,404.925,404.925,206.445
238302,2,1797,6,38.7,38.7,19.728
238500,0,1679,6,4.95,4.95,2.52
238500,1,1491,2,320.6,288.54,147.434
238500,2,421,5,703.5,633.15,323.52
238500,3,1418,3,410.2,360.976,188.636
238500,4,128,3,136.23,128.0562,69.4545
238500,5,1710,1,63.117,55.54296,29.025
238600,0,1780,5,38.7,35.217,19.728
238600,1,927,1,50.985,44.35695,25.995
238600,2,458,7,344.85,300.0195,175.815
238600,3,1418,4,410.2,373.282,188.636
238600,4,1573,4,76.687,67.48456,35.269
238600,5,1598,3,75.244,66.96716,34.606
238700,0,1644,3,75.244,69.22448,34.606
238700,1,1589,7,12.987,12.987,6.617
238701,0,728,2,294,294,135.195
238701,1,517,2,1228.5,1142.505,407.025
238800,0,179,1,113.05,113.05,51.984
238801,0,426,3,749.85,712.3575,382.29
238900,0,1486,3,403.2,354.816,185.416
238900,1,83,5,89.991,89.991,41.382
238900,2,581,6,688.5,633.42,228.12
238900,3,2027,2,161.991,152.27154,74.493
239000,0,303,3,825.55,718.2285,273.524
239001,0,1492,3,334.6,297.794,153.874
239001,1,392,1,574.425,534.21525,292.86
239002,0,110,1,119.691,119.691,55.044
239002,1,55,4,266.4,231.768,88.263
239200,0,165,1,725.3345,674.561085,369.797
239300,0,1432,7,420,369.6,193.144
239300,1,357,2,495,495,252.36
239400,0,152,3,1125.7215,1125.7215,372.97
239400,1,2101,7,789.75,750.2625,363.177
239400,2,1445,1,375.2,330.176,172.536
239400,3,464,2,1018.5,926.835,337.455
239400,4,1615,9,376.987,331.74856,124.904
239400,5,2128,3,1485,1485,492.012
239400,6,390,1,1948.5,1714.68,645.57
239401,0,1694,5,7.992,6.95304,3.672
239401,1,1388,5,46.186,40.18182,21.238
239500,0,2069,5,161.991,139.31226,74.493
239500,1,529,2,1303.5,1264.395,431.88
239501,0,2018,1,85.491,81.21645,43.587
239600,0,1616,7,74.087,74.087,34.073
239600,1,373,2,489,489,249.3
239600,2,486,1,103.5,94.185,52.77
239600,3,678,1,136.5,121.485,69.585
239600,4,1806,6,28.8,25.632,14.679
239600,5,176,5,120.555,108.4995,55.442
239600,6,679,4,117,117,59.655
239700,0,1807,4,28.8,28.512,14.679
239700,1,386,5,1948.5,1734.165,645.57
239701,0,1068,1,469.7,465.003,155.617
239701,1,1252,3,65.989,65.989,33.638
239701,2,1456,5,421.4,421.4,193.788
240400,0,1131,6,360.8,310.288,165.924
240400,1,1060,3,689.7,689.7,228.514
240400,2,1078,2,345.4,300.498,158.84
240400,3,1879,1,1636.2,1456.218,752.427
240400,4,1631,2,16.458,16.458,7.566
240400,5,70,3,43.155,37.1133,19.845
240400,6,701,7,253.5,225.615,116.58
240800,0,160,5,1044.9905,898.69183,480.5575
240900,0,1606,1,207.987,207.987,95.641
241000,0,1621,1,16.887,15.02943,8.606
241000,1,2493,5,34.986,30.78768,17.836
241100,0,61,2,162.9,159.642,74.916
241100,1,1608,6,142.987,142.987,72.904
241100,2,348,3,1137,1011.93,522.87
241100,3,419,2,553.5,553.5,282.195
241100,4,456,1,838.5,838.5,385.59
241100,5,1695,8,4.482,4.482,2.286
241100,6,530,2,928.5,928.5,307.635
241101,0,75,1,34.155,30.7395,15.705
241101,1,91,1,134.991,124.19172,44.721
241300,0,1521,7,434,434,199.584
241300,1,720,2,354,318.6,117.285
241400,0,296,1,246.05,221.445,125.4475
241400,1,1510,6,180.6,180.6,92.078
241400,2,149,5,1125.7215,1013.14935,372.97
241400,3,1586,5,16.458,14.31846,7.566
241400,4,489,1,1228.5,1228.5,407.025
241400,5,439,6,838.5,746.265,385.59
241500,0,1613,9,142.987,135.83765,72.904
241500,1,1590,1,29.757,29.757,9.854
241501,0,2293,3,26.991,24.56181,13.761
241501,1,1752,2,80.1,80.1,36.837
241501,2,1634,2,12.987,11.6883,6.617
241501,3,1629,1,12.987,11.29869,6.617
241501,4,1685,4,4.851,4.22037,2.475
241501,5,276,3,502.55,502.55,231.1065
241600,0,158,4,1044.9905,1044.9905,480.5575
241600,1,927,3,50.985,45.37665,25.995
241600,2,1581,7,284.7,284.7,94.328
241600,3,126,2,136.23,126.6939,69.4545
241601,0,1468,7,264.6,235.494,121.674
241700,0,1589,2,12.987,12.987,6.617
241800,0,1643,3,75.244,65.46228,34.606
241800,1,852,4,346.35,346.35,114.75
241801,0,1433,2,431.2,379.456,198.296
241801,1,1452,2,410.2,377.384,188.636
241802,0,1597,9,75.244,75.244,34.606
241802,1,1590,2,29.757,29.757,9.854
242000,0,576,8,3748.5,3223.71,1241.955
242000,1,1351,10,23.786,23.786,12.124
242000,2,1069,3,646.8,575.652,214.302
242100,0,1632,2,23.387,23.387,10.751
242200,0,68,1,23.121,20.11527,11.79
242200,1,19,1,98.955,98.955,45.504
242300,0,1609,6,337.987,300.80843,111.982
242300,1,106,1,119.691,107.7219,55.044
242300,2,729,10,181.5,181.5,83.46
242300,3,2516,3,4.69,4.3617,2.394
242300,4,2508,2,6.636,5.90604,3.388
242300,5,1652,2,233.987,203.56869,107.601
242300,6,16,6,98.955,88.06995,45.504
242301,0,1690,3,15.291,13.15026,5.067
242301,1,1667,1,4.95,4.95,2.52
242301,2,1585,4,29.757,29.757,9.854
242400,0,1519,4,434,434,199.584
242500,0,1585,2,29.757,29.757,9.854
242500,1,1732,1,65.205,60.64065,29.988
242500,2,2044,1,179.991,169.19154,82.773
242500,3,1578,1,284.7,284.7,94.328
242501,0,1660,9,376.987,376.987,124.904
242501,1,455,2,1378.5,1199.295,456.72
242502,0,92,4,134.991,117.44217,44.721
242502,1,1417,1,375.2,330.176,172.536
242502,2,1453,6,361.2,328.692,166.11
242502,3,425,4,553.5,476.01,282.195
242502,4,1527,2,375.2,330.176,172.536
242700,0,1548,3,372.4,338.884,171.248
242700,1,1601,1,207.987,207.987,95.641
242700,2,1807,1,28.8,28.8,14.679
242700,3,1659,7,337.987,337.987,111.982
242800,0,79,3,36.495,33.21045,16.785
242900,0,1499,2,434,434,199.584
242900,1,1021,1,309.1,281.281,157.586
242901,0,1633,1,18.057,16.97358,8.307
242901,1,1251,1,65.989,59.3901,33.638
242901,2,1674,1,6.291,6.291,3.204
242901,3,1619,1,77.987,71.74804,35.867
243000,0,66,1,23.121,23.121,11.79
243001,0,1420,3,278.6,261.884,128.114
243001,1,1638,2,18.057,18.057,8.307
243001,2,514,4,103.5,103.5,34.29
243100,0,1608,1,142.987,142.987,72.904
243100,1,1465,7,278.6,242.382,128.114
243100,2,1631,1,16.458,16.29342,7.566
243100,3,1674,3,6.291,5.72481,3.204
243100,4,168,1,122.55,106.6185,56.354
243100,5,1765,1,538.92,538.92,178.551
243200,0,2153,4,671.391,671.391,308.745
243201,0,2052,7,125.991,112.13199,64.233
243202,0,1453,2,361.2,361.2,166.11
243400,0,459,2,404.85,368.4135,206.4
243500,0,1477,1,373.8,328.944,171.892
243500,1,514,2,103.5,96.255,34.29
243600,0,76,2,34.155,30.0564,15.705
243600,1,772,1,17.85,15.5295,9.105
243600,2,1624,1,284.7,284.7,94.328
243600,3,430,4,404.925,372.531,206.445
243601,0,486,2,103.5,103.5,52.77
243601,1,460,3,449.85,449.85,229.35
243601,2,217,2,664.05,577.7235,305.368
243700,0,1623,1,284.7,256.23,94.328
243701,0,1690,1,15.291,13.15026,5.067
243701,1,1632,1,23.387,20.58056,10.751
243701,2,454,1,404.85,376.5105,206.4
243702,0,1469,6,280,280,128.758
243702,1,1974,2,116.991,104.12199,59.643
243702,2,1084,6,710.6,710.6,235.433
243800,0,113,7,224.991,220.49118,74.547
243800,1,433,8,1453.5,1453.5,481.575
243800,2,1648,3,142.987,127.25843,72.904
243900,0,1600,3,75.244,75.244,34.606
243901,0,1660,7,376.987,331.74856,124.904
243901,1,427,1,703.5,689.43,323.52
243901,2,599,4,3442.5,3442.5,1140.57
243902,0,1006,4,319,319,105.688
243902,1,443,3,523.5,523.5,240.735
243902,2,1511,2,320.6,282.128,147.434
243902,3,145,4,2754.9905,2754.9905,912.779
243902,4,637,1,343.5,343.5,175.125
244100,0,1576,1,16.887,15.02943,8.606
244200,0,1771,1,30.6,29.376,15.597
244200,1,2387,3,269.991,240.29199,137.646
244300,0,1642,3,75.244,75.244,34.606
244300,1,2512,3,181.986,181.986,60.298
244300,2,597,3,208.5,181.395,106.305
244300,3,1647,6,233.987,208.24843,107.601
244300,4,1467,1,421.4,375.046,193.788
244300,5,1342,5,58.8,51.156,19.488
244301,0,418,1,404.925,364.4325,206.445
244400,0,420,2,749.85,704.859,382.29
244400,1,1613,6,142.987,127.25843,72.904
244400,2,169,4,113.05,113.05,51.984
244401,0,106,4,119.691,119.691,55.044
244402,0,1695,6,4.482,4.482,2.286
244500,0,1619,1,77.987,68.62856,35.867
244500,1,786,4,17.25,15.0075,8.79
244500,2,1602,5,233.987,233.987,107.601
244500,3,1410,1,322,309.12,148.078
244600,0,111,5,224.991,202.4919,74.547
244601,0,167,5,65.55,65.55,33.421
244601,1,556,2,748.5,748.5,381.6
244601,2,1578,2,284.7,247.689,94.328
244602,0,152,5,1125.7215,1125.7215,372.97
244800,0,29,2,229.5,229.5,76.041
244900,0,41,1,208.8,208.8,96.021
245000,0,450,5,1378.5,1254.435,456.72
245001,0,1441,2,280,249.2,128.758
245001,1,442,3,404.85,368.4135,206.4
245001,2,1636,1,16.458,14.64762,7.566
245100,0,1595,1,29.757,29.16186,9.854
245100,1,1590,7,29.757,26.7813,9.854
245100,2,1651,3,207.987,187.1883,95.641
245101,0,2494,1,4.116,4.116,2.1
245102,0,1350,1,18.186,16.18554,9.268
245102,1,449,1,523.5,523.5,240.735
245102,2,1420,4,278.6,242.382,128.114
245200,0,2088,1,457.2,457.2,233.091
245200,1,169,1,113.05,99.484,51.984
245200,2,152,1,1125.7215,1125.7215,372.97
245200,3,1532,2,392,368.48,180.264
245200,4,1432,1,420,420,193.144
245200,5,423,2,898.5,808.65,413.19
245200,6,181,7,122.55,122.55,56.354
245300,0,1468,1,264.6,238.14,121.674
245300,1,718,1,238.5,226.575,109.68
245301,0,1428,1,375.2,375.2,172.536
245302,0,423,2,898.5,898.5,413.19
245303,0,65,1,162.9,144.981,74.916
245303,1,1588,4,18.057,16.43187,8.307
245303,2,1748,2,98.1,87.309,32.499
245600,0,1947,1,443.7,417.078,204.039
245600,1,1562,3,333.2,309.876,153.23
245600,2,385,1,489,489,249.3
245700,0,1657,7,233.987,233.987,107.601
245701,0,2440,2,8.991,7.82217,4.581
245701,1,1027,4,254.1,231.231,84.183
245701,2,426,2,749.85,742.3515,382.29
245701,3,433,2,1453.5,1453.5,481.575
245701,4,1435,2,410.2,410.2,188.636
245800,0,542,1,1498.5,1333.665,689.1
245801,0,1577,9,284.7,284.7,94.328
245801,1,1588,2,18.057,18.057,8.307
245802,0,642,1,238.5,238.5,109.68
245802,1,1644,1,75.244,75.244,34.606
245900,0,1633,2,18.057,15.89016,8.307
245901,0,707,5,136.5,136.5,69.585
246000,0,1947,2,443.7,390.456,204.039
246000,1,1334,5,50.386,50.386,23.17
246001,0,1434,1,375.2,337.68,172.536
246001,1,443,2,523.5,523.5,240.735
246002,0,752,1,14.25,14.25,7.26
246002,1,1427,7,322,322,148.078
246002,2,423,1,898.5,898.5,413.19
246003,0,102,7,103.5,89.01,47.592
246200,0,1485,6,322,283.36,148.078
246200,1,1987,1,89.991,89.991,45.882
246200,2,143,4,284.9905,284.9905,145.293
246200,3,1321,3,40.586,36.93326,18.662
246300,0,1586,2,16.458,14.31846,7.566
246300,1,1644,1,75.244,71.4818,34.606
246300,2,1075,1,371.8,327.184,170.973
246300,3,1551,4,418.6,364.182,192.5
246300,4,648,2,118.5,118.5,60.42
246301,0,1406,3,19.866,19.866,10.122
246301,1,1556,2,392,356.72,180.264
246301,2,437,3,749.85,659.868,382.29
246301,3,1610,1,376.987,335.51843,124.904
246400,0,1635,1,29.757,26.18616,9.854
246401,0,344,1,549,477.63,279.9
246401,1,733,1,237,208.56,108.99
246401,2,1421,3,406,365.4,186.704
246500,0,1652,5,233.987,217.60791,107.601
246500,1,1421,1,406,406,186.704
246500,2,1413,2,418.6,418.6,192.5
246500,3,416,9,1453.5,1308.15,481.575
246501,0,1636,1,16.458,15.14136,7.566
246501,1,862,3,44.925,39.534,20.655
246501,2,1617,3,75.387,70.10991,34.671
246502,0,100,7,108,92.88,49.662
246600,0,482,3,268.5,233.595,123.48
246601,0,1609,5,337.987,337.987,111.982
246601,1,1584,4,12.987,12.20778,6.617
246700,0,1629,1,12.987,12.987,6.617
246700,1,443,2,523.5,523.5,240.735
246700,2,454,4,404.85,360.3165,206.4
246701,0,162,1,1512.59,1482.3382,501.1535
246701,1,1644,5,75.244,65.46228,34.606
246701,2,1582,1,23.387,20.34669,10.751
246702,0,2496,2,13.986,12.72726,7.126
246702,1,1704,3,6.291,6.291,3.204
246702,2,2516,3,4.69,4.69,2.394
246702,3,1447,3,418.6,372.554,192.5
246702,4,1493,3,376.6,376.6,173.18
246702,5,1555,4,515.2,515.2,170.702
246702,6,1391,4,55.986,55.986,25.746
246703,0,1256,1,21.989,20.66966,11.209
246900,0,1605,4,376.987,339.2883,124.904
246900,1,1045,4,646.8,556.248,214.302
246900,2,1690,9,15.291,15.291,5.067
247000,0,2309,2,26.991,26.72109,13.761
247001,0,1666,3,15.201,15.201,5.04
247001,1,424,7,404.925,364.4325,206.445
247001,2,1473,6,376.6,338.94,173.18
247001,3,1565,1,357,310.59,164.178
247001,4,2258,7,107.991,97.1919,55.053
247001,5,457,1,329.925,300.23175,168.21
247001,6,425,3,553.5,498.15,282.195
247100,0,378,2,1137,1137,522.87
247101,0,507,6,388.5,341.88,178.665
247101,1,377,2,898.5,898.5,413.19
247101,2,69,10,23.121,23.121,11.79
247102,0,2025,1,599.346,599.346,198.576
247200,0,1939,9,2879.991,2476.79226,954.198
247200,1,1326,3,60.186,60.186,19.936
247200,2,451,2,838.5,838.5,385.59
247200,3,1789,2,38.7,34.83,19.728
247200,4,1427,5,322,318.78,148.078
247200,5,1756,1,58.41,50.8167,29.781
247201,0,1816,3,28.8,26.784,14.679
247201,1,1618,1,76.687,69.0183,35.269
247202,0,1542,3,462,425.04,212.464
247300,0,1510,3,180.6,158.928,92.078
247300,1,627,3,748.5,748.5,381.6
247300,2,1625,1,284.7,250.536,94.328
247300,3,498,3,193.5,193.5,98.655
247301,0,179,4,113.05,100.6145,51.984
247301,1,1621,1,16.887,15.1983,8.606
247301,2,1621,9,16.887,14.86056,8.606
247400,0,2006,2,85.491,79.50663,43.587
247400,1,1941,6,443.7,443.7,204.039
247400,2,1622,3,284.7,264.771,94.328
247400,3,1559,4,418.6,418.6,192.5
247401,0,1326,3,60.186,54.1674,19.936
247402,0,1513,3,376.6,376.6,173.18
247402,1,1390,1,54.586,54.586,25.102
247402,2,1695,1,4.482,4.43718,2.286
247403,0,448,2,404.85,404.85,206.4
247403,1,1584,1,12.987,12.46752,6.617
247600,0,2114,7,231.75,231.75,118.152
247600,1,1703,1,4.851,4.22037,2.475
247600,2,1505,7,322,276.92,148.078
247700,0,1601,3,207.987,183.02856,95.641
247701,0,51,3,179.955,179.955,82.755
247701,1,2516,4,4.69,4.69,2.394
247701,2,1610,6,376.987,376.987,124.904
247800,0,2301,2,26.991,24.2919,13.761
247800,1,1344,2,22.4,19.936,11.424
247800,2,169,1,113.05,106.267,51.984
247801,0,330,7,293.55,273.0015,149.663
247802,0,385,8,489,420.54,249.3
247900,0,1577,1,284.7,276.159,94.328
247901,0,603,2,343.5,343.5,175.125
247901,1,171,1,94.05,81.8235,43.2535
247902,0,137,5,474.9905,474.9905,218.4335
247902,1,672,4,253.5,253.5,116.58
247902,2,1692,1,6.291,6.291,3.204
248000,0,1731,1,65.205,65.205,29.988
248001,0,1801,3,28.8,27.072,14.679
248001,1,1644,3,75.244,66.96716,34.606
248001,2,1535,7,375.2,375.2,172.536
248001,3,1696,5,15.291,14.22063,5.067
248100,0,1643,3,75.244,64.70984,34.606
248100,1,1511,1,320.6,320.6,147.434
248100,2,1498,3,420,420,193.144
248100,3,144,1,284.9905,282.140595,145.293
248100,4,1774,1,38.7,34.443,19.728
248100,5,93,2,60.66,60.66,30.924
248100,6,159,9,1044.9905,909.141735,480.5575
248101,0,1589,1,12.987,11.6883,6.617
248101,1,1579,1,284.7,261.924,94.328
248102,0,1103,1,393.8,362.296,181.093
248102,1,2496,3,13.986,13.986,7.126
248102,2,1940,1,809.1,736.281,372.078
248102,3,1544,6,333.2,303.212,153.23
248103,0,1646,7,207.987,185.10843,95.641
248300,0,724,2,244.5,215.16,112.44
248300,1,2199,6,305.1,271.539,140.301
248400,0,1644,2,75.244,64.70984,34.606
248401,0,803,3,26.85,23.091,13.695
248401,1,480,1,418.5,380.835,192.45
248401,2,1615,2,376.987,335.51843,124.904
248401,3,709,4,174,154.86,80.01
248500,0,1596,3,16.458,16.458,7.566
248500,1,1261,4,40.689,36.21321,20.746
248500,2,726,1,220.5,220.5,101.4
248501,0,1586,3,16.458,16.458,7.566
248501,1,127,6,136.23,136.23,69.4545
248501,2,452,4,329.925,329.925,168.21
248501,3,142,1,284.9905,284.9905,145.293
248501,4,455,2,1378.5,1378.5,456.72
248501,5,709,7,174,154.86,80.01
248502,0,1132,1,689.7,593.142,228.514
248502,1,1392,2,60.186,60.186,19.936
248600,0,1133,2,479.82,479.82,158.972
248600,1,1415,7,420,365.4,193.144
248600,2,435,5,404.925,360.38325,206.445
248600,3,2106,3,789.75,789.75,363.177
248601,0,1129,5,479.82,417.4434,158.972
248602,0,2499,1,33.208,29.22304,16.926
248602,1,425,2,553.5,553.5,282.195
248602,2,422,1,1453.5,1308.15,481.575
248700,0,1573,1,76.687,69.0183,35.269
248700,1,96,10,60.66,55.8072,30.924
248700,2,1507,4,373.8,321.468,171.892
248701,0,1676,2,8.091,8.091,3.717
248701,1,1179,3,1078,927.08,357.159
248800,0,1854,4,1637.01,1555.1595,752.805
248801,0,427,5,703.5,689.43,323.52
248801,1,1490,3,180.6,164.346,92.078
248801,2,1407,4,22.4,22.4,11.424
248801,3,418,1,404.925,352.28475,206.445
248801,4,159,5,1044.9905,1044.9905,480.5575
248802,0,1570,3,557.2,484.764,184.618
248802,1,1173,2,475.2,475.2,242.275
248802,2,1485,3,322,293.02,148.078
248803,0,1654,3,337.987,317.70778,111.982
248803,1,1694,1,7.992,6.95304,3.672
248803,2,337,3,312.55,312.55,143.735
249000,0,1996,1,179.991,179.991,82.773
249100,0,1705,5,6.192,5.51088,2.844
249100,1,140,1,474.9905,474.9905,218.4335
249100,2,41,3,208.8,187.92,96.021
249101,0,98,1,108,97.2,49.662
249200,0,528,4,1228.5,1117.935,407.025
249200,1,1666,1,15.201,13.6809,5.04
249200,2,998,1,217.8,189.486,100.155
249200,3,2507,2,6.636,5.83968,3.388
249201,0,456,2,838.5,729.495,385.59
249201,1,1427,1,322,322,148.078
249202,0,1633,2,18.057,18.057,8.307
249202,1,48,10,134.955,134.955,68.805
249202,2,1056,4,689.7,689.7,228.514
249300,0,1592,2,23.387,23.387,10.751
249300,1,906,4,113.985,113.985,58.11
249301,0,2509,6,5.684,5.684,2.898
249302,0,296,2,246.05,216.524,125.4475
249302,1,1576,8,16.887,15.53604,8.606
249302,2,943,2,62.985,54.79695,32.115
249400,0,1583,6,18.057,16.79301,8.307
249400,1,1615,6,376.987,376.987,124.904
249400,2,434,1,898.5,826.62,413.19
249401,0,1425,2,740.6,740.6,245.378
249500,0,926,2,2.985,2.985,1.515
249501,0,421,4,703.5,619.08,323.52
249501,1,446,2,329.925,316.728,168.21
249501,2,115,2,224.991,224.991,74.547
249501,3,2488,3,20.986,18.25782,10.696
249501,4,2510,3,5.684,5.684,2.898
249502,0,1679,2,4.95,4.95,2.52
249502,1,151,2,1125.7215,1125.7215,372.97
249503,0,1945,4,2879.991,2879.991,954.198
249700,0,579,2,343.5,298.845,175.125
249700,1,78,4,36.495,32.48055,16.785
249800,0,419,1,553.5,553.5,282.195
249800,1,1599,6,75.244,75.244,34.606
249801,0,92,1,134.991,134.991,44.721
249900,0,1088,6,740.3,740.3,245.278
249901,0,459,3,404.85,404.85,206.4
249901,1,454,6,404.85,368.4135,206.4
249901,2,1384,2,23.786,23.786,12.124
249901,3,1730,1,69.912,62.22168,32.148
249901,4,59,9,140.4,140.4,71.577
249901,5,1762,1,28.251,28.251,14.4
249901,6,383,4,898.5,799.665,413.19
249902,0,575,4,3442.5,3029.4,1140.57
249902,1,663,6,372,323.64,123.255
249902,2,191,2,62.7,57.684,31.9675
249902,3,1554,2,417.2,371.308,191.856
250000,0,1625,5,284.7,244.842,94.328
250001,0,583,2,376.5,335.085,124.74
250001,1,405,1,1048.5,933.165,482.16
250001,2,1419,1,361.2,361.2,166.11
250001,3,1700,2,7.992,7.992,3.672
250002,0,447,1,344.85,334.5045,175.815
250100,0,977,3,294.8,265.32,97.669
250100,1,449,2,523.5,523.5,240.735
250100,2,356,1,685.35,685.35,315.165
250101,0,2101,1,789.75,687.0825,363.177
250200,0,1605,2,376.987,339.2883,124.904
250200,1,2070,6,125.991,125.991,64.233
250200,2,1677,3,4.491,4.491,2.286
250201,0,1438,2,406,353.22,186.704
250201,1,718,3,238.5,205.11,109.68
250202,0,2100,7,1327.5,1327.5,439.83
250203,0,1616,2,74.087,65.93743,34.073
