OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
233900,0,2021-05-27,2021-05-27,465101,230,495,10,208.5,208.5,106.305,EUR,0.81981
233900,1,2021-05-27,2021-05-27,465101,230,643,3,253.5,253.5,116.58,EUR,0.81981
234000,0,2021-05-28,2021-05-28,1854262,610,1543,7,562.8,484.008,186.466,USD,1.00000
234000,1,2021-05-28,2021-05-28,1854262,610,558,4,448.5,444.015,148.59,USD,1.00000
234000,2,2021-05-28,2021-05-28,1854262,610,187,3,123.405,123.405,40.888,USD,1.00000
234000,3,2021-05-28,2021-05-28,1854262,610,1487,1,373.8,325.206,171.892,USD,1.00000
234100,0,2021-05-29,2021-05-29,1322735,500,660,2,238.5,214.65,109.68,USD,1.00000
234101,0,2021-05-29,2021-05-31,1601843,999999,2477,2,189,189,86.913,USD,1.00000
234101,1,2021-05-29,2021-05-31,1601843,999999,1409,4,824.6,824.6,273.21,USD,1.00000
234101,2,2021-05-29,2021-05-31,1601843,999999,1463,4,410.2,389.69,188.636,USD,1.00000
234101,3,2021-05-29,2021-05-31,1601843,999999,1084,1,710.6,611.116,235.433,USD,1.00000
234101,4,2021-05-29,2021-05-31,1601843,999999,1578,6,284.7,259.077,94.328,USD,1.00000
234101,5,2021-05-29,2021-05-31,1601843,999999,1676,3,8.091,7.20099,3.717,USD,1.00000
234400,0,2021-06-01,2021-06-01,1739643,650,1426,3,824.6,824.6,273.21,USD,1.00000
234400,1,2021-06-01,2021-06-01,1739643,650,1440,4,264.6,254.016,121.674,USD,1.00000
234500,0,2021-06-02,2021-06-04,837297,999999,581,5,688.5,681.615,228.12,EUR,0.82061
234500,1,2021-06-02,2021-06-04,837297,999999,131,6,190,176.7,96.8715,EUR,0.82061
234600,0,2021-06-03,2021-06-03,354778,90,1409,1,824.6,750.386,273.21,CAD,1.20702
234600,1,2021-06-03,2021-06-03,354778,90,2113,7,457.2,457.2,233.091,CAD,1.20702
234601,0,2021-06-03,2021-06-03,381935,74,1435,2,410.2,360.976,188.636,CAD,1.20702
234700,0,2021-06-04,2021-06-09,1726370,999999,1707,3,63.117,58.06764,29.025,USD,1.00000
234700,1,2021-06-04,2021-06-09,1726370,999999,1156,2,1760,1566.4,583.121,USD,1.00000
234700,2,2021-06-04,2021-06-09,1726370,999999,425,2,553.5,553.5,282.195,USD,1.00000
234700,3,2021-06-04,2021-06-09,1726370,999999,453,3,344.85,310.365,175.815,USD,1.00000
234800,0,2021-06-05,2021-06-05,1377621,450,1547,3,357,357,164.178,USD,1.00000
234800,1,2021-06-05,2021-06-05,1377621,450,1675,1,6.201,6.201,2.853,USD,1.00000
234801,0,2021-06-05,2021-06-09,350950,999999,5,2,19.413,16.69518,9.9,CAD,1.21152
234801,2,2021-06-05,2021-06-09,350950,999999,1024,1,205.59,189.1428,94.545,CAD,1.21152
235100,0,2021-06-08,2021-06-12,1501830,999999,1523,1,418.6,410.228,192.5,USD,1.00000
235100,1,2021-06-08,2021-06-12,1501830,999999,2004,1,125.991,109.61217,64.233,USD,1.00000
235100,2,2021-06-08,2021-06-12,1501830,999999,460,3,449.85,395.868,229.35,USD,1.00000
235100,3,2021-06-08,2021-06-12,1501830,999999,1235,7,921.8,811.184,423.907,USD,1.00000
235200,0,2021-06-09,2021-06-12,968684,999999,1590,3,29.757,29.757,9.854,GBP,0.70564
235201,0,2021-06-09,2021-06-09,1529154,510,1656,7,207.987,207.987,95.641,USD,1.00000
235201,1,2021-06-09,2021-06-09,1529154,510,1589,3,12.987,12.20778,6.617,USD,1.00000
235300,0,2021-06-10,2021-06-10,44738,35,1689,2,4.482,4.482,2.286,AUD,1.29218
235300,1,2021-06-10,2021-06-10,44738,35,1391,2,55.986,55.986,25.746,AUD,1.29218
235300,2,2021-06-10,2021-06-10,44738,35,1694,3,7.992,7.03296,3.672,AUD,1.29218
235301,0,2021-06-10,2021-06-12,905649,999999,1712,3,63.117,56.17413,29.025,GBP,0.70883
235301,1,2021-06-10,2021-06-12,905649,999999,2498,1,33.208,33.208,16.926,GBP,0.70883
235400,0,2021-06-11,2021-06-11,1853019,570,1468,1,264.6,232.848,121.674,USD,1.00000
235500,0,2021-06-12,2021-06-12,875316,320,1748,5,98.1,88.29,32.499,EUR,0.82474
235500,1,2021-06-12,2021-06-12,875316,320,425,3,553.5,553.5,282.195,EUR,0.82474
235501,0,2021-06-12,2021-06-12,1069798,390,419,2,553.5,553.5,282.195,GBP,0.70689
235501,1,2021-06-12,2021-06-12,1069798,390,2102,2,711.9,626.472,327.375,GBP,0.70689
235501,2,2021-06-12,2021-06-12,1069798,390,1660,3,376.987,376.987,124.904,GBP,0.70689
235501,3,2021-06-12,2021-06-12,1069798,390,1658,6,142.987,142.987,72.904,GBP,0.70689
235501,4,2021-06-12,2021-06-12,1069798,390,1481,5,320.6,320.6,147.434,GBP,0.70689
235501,5,2021-06-12,2021-06-12,1069798,390,2316,1,71.955,64.03995,36.684,GBP,0.70689
235501,6,2021-06-12,2021-06-12,1069798,390,116,2,161.4905,161.4905,82.3365,GBP,0.70689
235502,0,2021-06-12,2021-06-12,757402,300,437,3,749.85,749.85,382.29,EUR,0.82474
235502,1,2021-06-12,2021-06-12,757402,300,1600,5,75.244,75.244,34.606,EUR,0.82474
235502,2,2021-06-12,2021-06-12,757402,300,1439,1,421.4,383.474,193.788,EUR,0.82474
235800,0,2021-06-15,2021-06-17,2097061,999999,165,8,725.3345,725.3345,369.797,USD,1.00000
235800,1,2021-06-15,2021-06-17,2097061,999999,1434,2,375.2,345.184,172.536,USD,1.00000
235800,2,2021-06-15,2021-06-17,2097061,999999,1734,1,25.2,25.2,12.852,USD,1.00000
235800,3,2021-06-15,2021-06-17,2097061,999999,73,3,43.155,43.155,19.845,USD,1.00000
235900,0,2021-06-16,2021-06-16,533082,270,1698,4,6.291,5.59899,3.204,EUR,0.82481
235901,0,2021-06-16,2021-06-16,505161,255,1677,1,4.491,4.491,2.286,EUR,0.82481
236000,0,2021-06-17,2021-06-22,1874219,999999,1640,4,29.757,26.7813,9.854,USD,1.00000
236000,1,2021-06-17,2021-06-22,1874219,999999,690,2,342,318.06,113.31,USD,1.00000
236001,0,2021-06-17,2021-06-17,1398616,540,2112,2,711.9,619.353,327.375,USD,1.00000
236001,1,2021-06-17,2021-06-17,1398616,540,422,9,1453.5,1453.5,481.575,USD,1.00000
236100,0,2021-06-18,2021-06-18,1606060,605,1686,1,6.291,6.291,3.204,USD,1.00000
236200,0,2021-06-19,2021-06-26,968716,999999,1401,1,56.266,56.266,25.872,GBP,0.72100
236201,0,2021-06-19,2021-06-19,503582,240,1478,4,420,361.2,193.144,EUR,0.84048
236201,1,2021-06-19,2021-06-19,503582,240,1354,1,40.586,34.90396,18.662,EUR,0.84048
236202,0,2021-06-19,2021-06-19,647814,150,1648,8,142.987,135.83765,72.904,EUR,0.84048
236202,1,2021-06-19,2021-06-19,647814,150,1560,4,462,397.32,212.464,EUR,0.84048
236500,0,2021-06-22,2021-06-24,826898,999999,1329,2,23.786,23.786,10.934,EUR,0.84076
236500,1,2021-06-22,2021-06-24,826898,999999,1697,1,4.851,4.22037,2.475,EUR,0.84076
236600,0,2021-06-23,2021-06-23,364198,74,2500,6,33.208,33.208,16.926,CAD,1.22726
236600,1,2021-06-23,2021-06-23,364198,74,2515,2,4.69,4.221,2.394,CAD,1.22726
236601,0,2021-06-23,2021-06-23,1541805,430,1426,3,824.6,824.6,273.21,USD,1.00000
236601,1,2021-06-23,2021-06-23,1541805,430,2459,2,194.058,170.77104,64.296,USD,1.00000
236700,0,2021-06-24,2021-06-28,1973598,999999,1618,2,76.687,69.0183,35.269,USD,1.00000
236700,1,2021-06-24,2021-06-28,1973598,999999,7,3,19.413,19.413,9.9,USD,1.00000
236701,0,2021-06-24,2021-06-27,1975545,999999,396,2,1948.5,1695.195,645.57,USD,1.00000
236701,1,2021-06-24,2021-06-27,1975545,999999,1429,2,404.6,404.6,186.06,USD,1.00000
236701,2,2021-06-24,2021-06-27,1975545,999999,1478,1,420,420,193.144,USD,1.00000
236800,0,2021-06-25,2021-06-25,1714085,660,450,1,1378.5,1199.295,456.72,USD,1.00000
236900,0,2021-06-26,2021-06-30,586839,999999,2112,2,711.9,711.9,327.375,EUR,0.83682
236900,1,2021-06-26,2021-06-30,586839,999999,818,4,17.25,15.0075,7.935,EUR,0.83682
236901,0,2021-06-26,2021-06-26,1346916,480,84,4,89.991,89.991,41.382,USD,1.00000
236902,0,2021-06-26,2021-06-26,269709,100,1483,9,376.6,331.408,173.18,CAD,1.22979
236902,1,2021-06-26,2021-06-26,269709,100,64,2,162.9,162.9,74.916,CAD,1.22979
236902,2,2021-06-26,2021-06-26,269709,100,522,1,418.5,372.465,192.45,CAD,1.22979
236902,3,2021-06-26,2021-06-26,269709,100,856,3,193.5,172.215,88.98,CAD,1.22979
237200,0,2021-06-29,2021-06-29,924003,370,1532,2,392,341.04,180.264,GBP,0.72298
237300,0,2021-06-30,2021-06-30,54457,35,1825,1,28.8,25.92,14.679,AUD,1.33398
237300,1,2021-06-30,2021-06-30,54457,35,1228,5,1782,1603.8,590.414,AUD,1.33398
237301,0,2021-06-30,2021-06-30,1731564,605,905,3,113.985,106.00605,58.11,USD,1.00000
237301,1,2021-06-30,2021-06-30,1731564,605,77,2,34.155,30.7395,15.705,USD,1.00000
237301,2,2021-06-30,2021-06-30,1731564,605,1561,6,562.8,534.66,186.466,USD,1.00000
237400,0,2021-07-01,2021-07-01,1492831,440,308,5,475,451.25,218.4335,USD,1.00000
237401,0,2021-07-01,2021-07-01,1446435,540,1467,6,421.4,379.26,193.788,USD,1.00000
237401,1,2021-07-01,2021-07-01,1446435,540,2097,1,711.9,711.9,327.375,USD,1.00000
237401,2,2021-07-01,2021-07-01,1446435,540,1776,1,38.7,38.7,19.728,USD,1.00000
237401,3,2021-07-01,2021-07-01,1446435,540,716,3,313.5,282.15,103.875,USD,1.00000
237500,0,2021-07-02,2021-07-02,862233,340,1694,3,7.992,7.992,3.672,EUR,0.84581
237500,1,2021-07-02,2021-07-02,862233,340,76,1,34.155,32.1057,15.705,EUR,0.84581
237600,0,2021-07-03,2021-07-08,244888,999999,70,7,43.155,38.8395,19.845,CAD,1.24139
237601,0,2021-07-03,2021-07-03,1681885,540,449,1,523.5,523.5,240.735,USD,1.00000
237602,0,2021-07-03,2021-07-08,82158,999999,1698,6,6.291,5.78772,3.204,AUD,1.33942
237602,1,2021-07-03,2021-07-08,82158,999999,1339,1,50.386,50.386,23.17,AUD,1.33942
237602,2,2021-07-03,2021-07-08,82158,999999,1424,2,280,280,128.758,AUD,1.33942
237602,3,2021-07-03,2021-07-08,82158,999999,867,5,104.985,93.43665,48.285,AUD,1.33942
237602,4,2021-07-03,2021-07-08,82158,999999,595,1,376.5,376.5,124.74,AUD,1.33942
237602,5,2021-07-03,2021-07-08,82158,999999,1333,2,46.186,46.186,21.238,AUD,1.33942
237800,0,2021-07-05,2021-07-12,1801369,999999,457,4,329.925,287.03475,168.21,USD,1.00000
237900,0,2021-07-06,2021-07-06,532337,240,1730,2,69.912,69.912,32.148,EUR,0.84474
238000,0,2021-07-07,2021-07-07,1448378,605,1164,1,198,188.1,100.947,USD,1.00000
238000,1,2021-07-07,2021-07-07,1448378,605,556,3,748.5,748.5,381.6,USD,1.00000
238000,2,2021-07-07,2021-07-07,1448378,605,49,2,179.955,156.56085,82.755,USD,1.00000
238000,3,2021-07-07,2021-07-07,1448378,605,1501,3,320.6,282.128,147.434,USD,1.00000
238000,4,2021-07-07,2021-07-07,1448378,605,156,1,446.4715,428.61264,205.314,USD,1.00000
238001,0,2021-07-07,2021-07-12,660103,999999,322,3,350.55,350.55,161.2055,EUR,0.84524
238100,0,2021-07-08,2021-07-08,1948604,480,1819,7,28.8,25.056,14.679,USD,1.00000
238101,0,2021-07-08,2021-07-11,1409980,999999,545,1,688.5,612.765,228.12,USD,1.00000
238101,1,2021-07-08,2021-07-11,1409980,999999,140,1,474.9905,474.9905,218.4335,USD,1.00000
238200,0,2021-07-09,2021-07-10,991979,999999,306,3,350.55,311.9895,161.2055,GBP,0.72321
238200,1,2021-07-09,2021-07-10,991979,999999,370,2,574.425,551.448,292.86,GBP,0.72321
238200,2,2021-07-09,2021-07-10,991979,999999,2442,7,8.991,8.991,4.581,GBP,0.72321
238300,0,2021-07-10,2021-07-10,61881,60,1691,2,4.851,4.55994,2.475,AUD,1.33817
238301,0,2021-07-10,2021-07-10,1378926,620,2039,1,161.991,160.37109,74.493,USD,1.00000
238302,0,2021-07-10,2021-07-10,1309135,605,1312,3,225.5,209.715,103.697,USD,1.00000
238302,1,2021-07-10,2021-07-10,1309135,605,424,3,404.925,404.925,206.445,USD,1.00000
238302,2,2021-07-10,2021-07-10,1309135,605,1797,6,38.7,38.7,19.728,USD,1.00000
238500,0,2021-07-12,2021-07-12,774934,300,1679,6,4.95,4.95,2.52,EUR,0.84374
238500,1,2021-07-12,2021-07-12,774934,300,1491,2,320.6,288.54,147.434,EUR,0.84374
238500,2,2021-07-12,2021-07-12,774934,300,421,5,703.5,633.15,323.52,EUR,0.84374
238500,3,2021-07-12,2021-07-12,774934,300,1418,3,410.2,360.976,188.636,EUR,0.84374
238500,4,2021-07-12,2021-07-12,774934,300,128,3,136.23,128.0562,69.4545,EUR,0.84374
238500,5,2021-07-12,2021-07-12,774934,300,1710,1,63.117,55.54296,29.025,EUR,0.84374
238600,0,2021-07-13,2021-07-13,378445,80,1780,5,38.7,35.217,19.728,CAD,1.24806
238600,1,2021-07-13,2021-07-13,378445,80,927,1,50.985,44.35695,25.995,CAD,1.24806
238600,2,2021-07-13,2021-07-13,378445,80,458,7,344.85,300.0195,175.815,CAD,1.24806
238600,3,2021-07-13,2021-07-13,378445,80,1418,4,410.2,373.282,188.636,CAD,1.24806
238600,4,2021-07-13,2021-07-13,378445,80,1573,4,76.687,67.48456,35.269,CAD,1.24806
238600,5,2021-07-13,2021-07-13,378445,80,1598,3,75.244,66.96716,34.606,CAD,1.24806
238700,0,2021-07-14,2021-07-19,1796486,999999,1644,3,75.244,69.22448,34.606,USD,1.00000
238700,1,2021-07-14,2021-07-19,1796486,999999,1589,7,12.987,12.987,6.617,USD,1.00000
238701,0,2021-07-14,2021-07-14,281722,100,728,2,294,294,135.195,CAD,1.24721
238701,1,2021-07-14,2021-07-14,281722,100,517,2,1228.5,1142.505,407.025,CAD,1.24721
238800,0,2021-07-15,2021-07-15,1701220,500,179,1,113.05,113.05,51.984,USD,1.00000
238801,0,2021-07-15,2021-07-17,1153237,999999,426,3,749.85,712.3575,382.29,GBP,0.72138
238900,0,2021-07-16,2021-07-19,502555,999999,1486,3,403.2,354.816,185.416,EUR,0.84731
238900,1,2021-07-16,2021-07-19,502555,999999,83,5,89.991,89.991,41.382,EUR,0.84731
238900,2,2021-07-16,2021-07-19,502555,999999,581,6,688.5,633.42,228.12,EUR,0.84731
238900,3,2021-07-16,2021-07-19,502555,999999,2027,2,161.991,152.27154,74.493,EUR,0.84731
239000,0,2021-07-17,2021-07-17,2083910,610,303,3,825.55,718.2285,273.524,USD,1.00000
239001,0,2021-07-17,2021-07-20,1409980,999999,1492,3,334.6,297.794,153.874,USD,1.00000
239001,1,2021-07-17,2021-07-20,1409980,999999,392,1,574.425,534.21525,292.86,USD,1.00000
239002,0,2021-07-17,2021-07-21,1873443,999999,110,1,119.691,119.691,55.044,USD,1.00000
239002,1,2021-07-17,2021-07-21,1873443,999999,55,4,266.4,231.768,88.263,USD,1.00000
239200,0,2021-07-19,2021-07-19,1166770,400,165,1,725.3345,674.561085,369.797,GBP,0.73018
239300,0,2021-07-20,2021-07-23,1715385,999999,1432,7,420,369.6,193.144,USD,1.00000
239300,1,2021-07-20,2021-07-23,1715385,999999,357,2,495,495,252.36,USD,1.00000
239400,0,2021-07-21,2021-07-21,1518119,560,152,3,1125.7215,1125.7215,372.97,USD,1.00000
239400,1,2021-07-21,2021-07-21,1518119,560,2101,7,789.75,750.2625,363.177,USD,1.00000
239400,2,2021-07-21,2021-07-21,1518119,560,1445,1,375.2,330.176,172.536,USD,1.00000
239400,3,2021-07-21,2021-07-21,1518119,560,464,2,1018.5,926.835,337.455,USD,1.00000
239400,4,2021-07-21,2021-07-21,1518119,560,1615,9,376.987,331.74856,124.904,USD,1.00000
239400,5,2021-07-21,2021-07-21,1518119,560,2128,3,1485,1485,492.012,USD,1.00000
239400,6,2021-07-21,2021-07-21,1518119,560,390,1,1948.5,1714.68,645.57,USD,1.00000
239401,0,2021-07-21,2021-07-25,1243365,999999,1694,5,7.992,6.95304,3.672,USD,1.00000
239401,1,2021-07-21,2021-07-25,1243365,999999,1388,5,46.186,40.18182,21.238,USD,1.00000
239500,0,2021-07-22,2021-07-22,717599,290,2069,5,161.991,139.31226,74.493,EUR,0.84926
239500,1,2021-07-22,2021-07-22,717599,290,529,2,1303.5,1264.395,431.88,EUR,0.84926
239501,0,2021-07-22,2021-07-25,258417,999999,2018,1,85.491,81.21645,43.587,CAD,1.25512
239600,0,2021-07-23,2021-07-28,258319,999999,1616,7,74.087,74.087,34.073,CAD,1.25673
239600,1,2021-07-23,2021-07-28,258319,999999,373,2,489,489,249.3,CAD,1.25673
239600,2,2021-07-23,2021-07-28,258319,999999,486,1,103.5,94.185,52.77,CAD,1.25673
239600,3,2021-07-23,2021-07-28,258319,999999,678,1,136.5,121.485,69.585,CAD,1.25673
239600,4,2021-07-23,2021-07-28,258319,999999,1806,6,28.8,25.632,14.679,CAD,1.25673
239600,5,2021-07-23,2021-07-28,258319,999999,176,5,120.555,108.4995,55.442,CAD,1.25673
239600,6,2021-07-23,2021-07-28,258319,999999,679,4,117,117,59.655,CAD,1.25673
239700,0,2021-07-24,2021-07-24,1439172,470,1807,4,28.8,28.512,14.679,USD,1.00000
239700,1,2021-07-24,2021-07-24,1439172,470,386,5,1948.5,1734.165,645.57,USD,1.00000
239701,0,2021-07-24,2021-07-24,1942380,570,1068,1,469.7,465.003,155.617,USD,1.00000
239701,1,2021-07-24,2021-07-24,1942380,570,1252,3,65.989,65.989,33.638,USD,1.00000
239701,2,2021-07-24,2021-07-24,1942380,570,1456,5,421.4,421.4,193.788,USD,1.00000
240400,0,2021-07-31,2021-07-31,1204630,550,1131,6,360.8,310.288,165.924,USD,1.00000
240400,1,2021-07-31,2021-07-31,1204630,550,1060,3,689.7,689.7,228.514,USD,1.00000
240400,2,2021-07-31,2021-07-31,1204630,550,1078,2,345.4,300.498,158.84,USD,1.00000
240400,3,2021-07-31,2021-07-31,1204630,550,1879,1,1636.2,1456.218,752.427,USD,1.00000
240400,4,2021-07-31,2021-07-31,1204630,550,1631,2,16.458,16.458,7.566,USD,1.00000
240400,5,2021-07-31,2021-07-31,1204630,550,70,3,43.155,37.1133,19.845,USD,1.00000
240400,6,2021-07-31,2021-07-31,1204630,550,701,7,253.5,225.615,116.58,USD,1.00000
240800,0,2021-08-04,2021-08-04,1251683,610,160,5,1044.9905,898.69183,480.5575,USD,1.00000
240900,0,2021-08-05,2021-08-09,596562,999999,1606,1,207.987,207.987,95.641,EUR,0.84388
241000,0,2021-08-06,2021-08-06,1238475,670,1621,1,16.887,15.02943,8.606,USD,1.00000
241000,1,2021-08-06,2021-08-06,1238475,670,2493,5,34.986,30.78768,17.836,USD,1.00000
241100,0,2021-08-07,2021-08-11,1383908,999999,61,2,162.9,159.642,74.916,USD,1.00000
241100,1,2021-08-07,2021-08-11,1383908,999999,1608,6,142.987,142.987,72.904,USD,1.00000
241100,2,2021-08-07,2021-08-11,1383908,999999,348,3,1137,1011.93,522.87,USD,1.00000
241100,3,2021-08-07,2021-08-11,1383908,999999,419,2,553.5,553.5,282.195,USD,1.00000
241100,4,2021-08-07,2021-08-11,1383908,999999,456,1,838.5,838.5,385.59,USD,1.00000
241100,5,2021-08-07,2021-08-11,1383908,999999,1695,8,4.482,4.482,2.286,USD,1.00000
241100,6,2021-08-07,2021-08-11,1383908,999999,530,2,928.5,928.5,307.635,USD,1.00000
241101,0,2021-08-07,2021-08-07,306845,80,75,1,34.155,30.7395,15.705,CAD,1.25036
241101,1,2021-08-07,2021-08-07,306845,80,91,1,134.991,124.19172,44.721,CAD,1.25036
241300,0,2021-08-09,2021-08-11,1748981,999999,1521,7,434,434,199.584,USD,1.00000
241300,1,2021-08-09,2021-08-11,1748981,999999,720,2,354,318.6,117.285,USD,1.00000
241400,0,2021-08-10,2021-08-10,1536053,430,296,1,246.05,221.445,125.4475,USD,1.00000
241400,1,2021-08-10,2021-08-10,1536053,430,1510,6,180.6,180.6,92.078,USD,1.00000
241400,2,2021-08-10,2021-08-10,1536053,430,149,5,1125.7215,1013.14935,372.97,USD,1.00000
241400,3,2021-08-10,2021-08-10,1536053,430,1586,5,16.458,14.31846,7.566,USD,1.00000
241400,4,2021-08-10,2021-08-10,1536053,430,489,1,1228.5,1228.5,407.025,USD,1.00000
241400,5,2021-08-10,2021-08-10,1536053,430,439,6,838.5,746.265,385.59,USD,1.00000
241500,0,2021-08-11,2021-08-11,1040190,420,1613,9,142.987,135.83765,72.904,GBP,0.72280
241500,1,2021-08-11,2021-08-11,1040190,420,1590,1,29.757,29.757,9.854,GBP,0.72280
241501,0,2021-08-11,2021-08-11,1311626,610,2293,3,26.991,24.56181,13.761,USD,1.00000
241501,1,2021-08-11,2021-08-11,1311626,610,1752,2,80.1,80.1,36.837,USD,1.00000
241501,2,2021-08-11,2021-08-11,1311626,610,1634,2,12.987,11.6883,6.617,USD,1.00000
241501,3,2021-08-11,2021-08-11,1311626,610,1629,1,12.987,11.29869,6.617,USD,1.00000
241501,4,2021-08-11,2021-08-11,1311626,610,1685,4,4.851,4.22037,2.475,USD,1.00000
241501,5,2021-08-11,2021-08-11,1311626,610,276,3,502.55,502.55,231.1065,USD,1.00000
241600,0,2021-08-12,2021-08-12,371314,100,158,4,1044.9905,1044.9905,480.5575,CAD,1.25173
241600,1,2021-08-12,2021-08-12,371314,100,927,3,50.985,45.37665,25.995,CAD,1.25173
241600,2,2021-08-12,2021-08-12,371314,100,1581,7,284.7,284.7,94.328,CAD,1.25173
241600,3,2021-08-12,2021-08-12,371314,100,126,2,136.23,126.6939,69.4545,CAD,1.25173
241601,0,2021-08-12,2021-08-17,1832021,999999,1468,7,264.6,235.494,121.674,USD,1.00000
241700,0,2021-08-13,2021-08-13,1927119,540,1589,2,12.987,12.987,6.617,USD,1.00000
241800,0,2021-08-14,2021-08-17,1732425,999999,1643,3,75.244,65.46228,34.606,USD,1.00000
241800,1,2021-08-14,2021-08-17,1732425,999999,852,4,346.35,346.35,114.75,USD,1.00000
241801,0,2021-08-14,2021-08-14,480148,190,1433,2,431.2,379.456,198.296,EUR,0.84998
241801,1,2021-08-14,2021-08-14,480148,190,1452,2,410.2,377.384,188.636,EUR,0.84998
241802,0,2021-08-14,2021-08-14,416457,220,1597,9,75.244,75.244,34.606,EUR,0.84998
241802,1,2021-08-14,2021-08-14,416457,220,1590,2,29.757,29.757,9.854,EUR,0.84998
242000,0,2021-08-16,2021-08-19,1649539,999999,576,8,3748.5,3223.71,1241.955,USD,1.00000
242000,1,2021-08-16,2021-08-19,1649539,999999,1351,10,23.786,23.786,12.124,USD,1.00000
242000,2,2021-08-16,2021-08-19,1649539,999999,1069,3,646.8,575.652,214.302,USD,1.00000
242100,0,2021-08-17,2021-08-17,1864367,470,1632,2,23.387,23.387,10.751,USD,1.00000
242200,0,2021-08-18,2021-08-19,471466,999999,68,1,23.121,20.11527,11.79,EUR,0.85302
242200,1,2021-08-18,2021-08-19,471466,999999,19,1,98.955,98.955,45.504,EUR,0.85302
242300,0,2021-08-19,2021-08-19,1987779,650,1609,6,337.987,300.80843,111.982,USD,1.00000
242300,1,2021-08-19,2021-08-19,1987779,650,106,1,119.691,107.7219,55.044,USD,1.00000
242300,2,2021-08-19,2021-08-19,1987779,650,729,10,181.5,181.5,83.46,USD,1.00000
242300,3,2021-08-19,2021-08-19,1987779,650,2516,3,4.69,4.3617,2.394,USD,1.00000
242300,4,2021-08-19,2021-08-19,1987779,650,2508,2,6.636,5.90604,3.388,USD,1.00000
242300,5,2021-08-19,2021-08-19,1987779,650,1652,2,233.987,203.56869,107.601,USD,1.00000
242300,6,2021-08-19,2021-08-19,1987779,650,16,6,98.955,88.06995,45.504,USD,1.00000
242301,0,2021-08-19,2021-08-21,1652130,999999,1690,3,15.291,13.15026,5.067,USD,1.00000
242301,1,2021-08-19,2021-08-21,1652130,999999,1667,1,4.95,4.95,2.52,USD,1.00000
242301,2,2021-08-19,2021-08-21,1652130,999999,1585,4,29.757,29.757,9.854,USD,1.00000
242400,0,2021-08-20,2021-08-22,1701685,999999,1519,4,434,434,199.584,USD,1.00000
242500,0,2021-08-21,2021-08-21,960116,390,1585,2,29.757,29.757,9.854,GBP,0.73473
242500,1,2021-08-21,2021-08-21,960116,390,1732,1,65.205,60.64065,29.988,GBP,0.73473
242500,2,2021-08-21,2021-08-21,960116,390,2044,1,179.991,169.19154,82.773,GBP,0.73473
242500,3,2021-08-21,2021-08-21,960116,390,1578,1,284.7,284.7,94.328,GBP,0.73473
242501,0,2021-08-21,2021-08-21,1138388,360,1660,9,376.987,376.987,124.904,GBP,0.73473
242501,1,2021-08-21,2021-08-21,1138388,360,455,2,1378.5,1199.295,456.72,GBP,0.73473
242502,0,2021-08-21,2021-08-26,1947458,999999,92,4,134.991,117.44217,44.721,USD,1.00000
242502,1,2021-08-21,2021-08-26,1947458,999999,1417,1,375.2,330.176,172.536,USD,1.00000
